Unnamed: 0,replicate,sample_size,Ne,length,recombination_rate,mutation_rate,error_param,edges,n_trees,n_sites,seed,fastARG_completed,tsinfer_completed,tsinfer_memory,tsinfer_max_polytomy,tsinfer_mean_polytomy,tsinfer_ts_filesize,tsinfer_cputime,tsinfer_var_polytomy,tsinfer_edges,fastARG_memory,fastARG_cputime,fastARG_edges,fastARG_ts_filesize
49,1,9478,5000,5000000,1e-08,1e-08,0,53151,9034,9525,317594713,True,True,192143360.0,998.0,5.681956257594168,2121404.0,340.03999999999996,168.58475340270385,37410.0,3372466176.0,5840.71,64403.0,3202036.0
50,1,10000,5000,500000,1e-08,1e-08,0,23341,891,978,252108970,False,True,93036544.0,281.0,15.255760368663594,889844.0,21.459999999999997,677.0958769564018,13242.0,,,,
51,1,10000,5000,1000000,1e-08,1e-08,0,26511,1716,1913,726987915,True,True,107790336.0,197.0,9.823273179838209,1026396.0,41.940000000000005,233.11126918672932,15786.0,3171053568.0,1526.28,28065.0,1512740.0
52,1,10000,5000,1500000,1e-08,1e-08,0,29697,2578,2698,466003127,True,True,117575680.0,274.0,8.329183955739973,1144244.0,68.89,143.97739172687952,18066.0,3233554432.0,2195.02,32093.0,1700140.0
53,1,10000,5000,2000000,1e-08,1e-08,0,33652,3632,3908,634229755,False,True,126799872.0,359.0,7.191251271617498,1311884.0,114.95,105.97088310708976,21207.0,,,,
54,1,10000,5000,2500000,1e-08,1e-08,0,36709,4460,4638,1818331525,False,False,,,,,,,,,,,
55,1,10000,5000,3000000,1e-08,1e-08,0,41061,5589,5969,1113947505,True,True,151818240.0,567.0,6.154576271186441,1622604.0,216.01,102.5903434645217,27234.0,3168227328.0,4385.74,47595.0,2428612.0
56,1,10000,5000,3500000,1e-08,1e-08,0,44511,6500,6997,176127709,True,True,158142464.0,710.0,6.1029706945002005,1778564.0,239.77,128.10360819625078,30405.0,2166681600.0,4899.8099999999995,52408.0,2656276.0
57,1,10000,5000,4000000,1e-08,1e-08,0,48708,7633,8030,872754006,True,True,176824320.0,793.0,5.82961038961039,1943260.0,277.89000000000004,129.62256911227303,33666.0,3506974720.0,5797.87,57474.0,2892012.0
58,1,10000,5000,4500000,1e-08,1e-08,0,51026,8239,8635,846651357,True,False,,,,,,,,3608260608.0,5884.2,61466.0,3069916.0
59,1,10000,5000,5000000,1e-08,1e-08,0,54676,9226,9835,370254826,False,False,,,,,,,,,,,
60,1,10000,5000,5500000,1e-08,1e-08,0,58424,10176,11015,1952368865,False,False,,,,,,,,,,,
61,1,10000,5000,6000000,1e-08,1e-08,0,61966,11107,11811,1493571069,True,True,233250816.0,1183.0,5.574832464631422,2509476.0,507.81,189.41888508610413,44922.0,3738193920.0,7615.19,76362.0,3773036.0
62,1,10000,5000,6500000,1e-08,1e-08,0,64468,11846,12706,110815175,True,False,,,,,,,,3789819904.0,9467.96,79172.0,3916956.0
63,1,10000,5000,7000000,1e-08,1e-08,0,69408,13126,13930,192086521,False,True,256385024.0,1447.0,5.493316222863865,2831556.0,670.13,237.16108782632116,51368.0,,,,
