Unnamed: 0,sample_size,Ne,length,recombination_rate,mutation_rate,error_rate,seed,ARGweaver_completed,fastARG_completed,RentPlus_completed,tsinfer_completed,fastARG_pathunrooted,fastARG_SPRunrooted,fastARG_wRFrooted,fastARG_TSfilesize,fastARG_wRFunrooted,fastARG_RFunrooted,fastARG_edgesets,fastARG_cputime,fastARG_RFrooted,fastARG_edges,fastARG_memory,fastARG_KCrooted,RentPlus_pathunrooted,RentPlus_cputime,RentPlus_SPRunrooted,RentPlus_wRFrooted,RentPlus_RFrooted,RentPlus_wRFunrooted,RentPlus_RFunrooted,RentPlus_memory,RentPlus_KCrooted,tsinfer_pathunrooted,tsinfer_mean_polytomy,tsinfer_max_polytomy,tsinfer_wRFrooted,tsinfer_TSfilesize,tsinfer_wRFunrooted,tsinfer_var_polytomy,tsinfer_RFunrooted,tsinfer_edgesets,tsinfer_cputime,tsinfer_RFrooted,tsinfer_SPRunrooted,tsinfer_edges,tsinfer_memory,tsinfer_KCrooted,ARGweaver_pathunrooted,ARGweaver_wRFunrooted,ARGweaver_wRFrooted,ARGweaver_TSfilesize,ARGweaver_SPRunrooted,ARGweaver_RFunrooted,ARGweaver_iterations,ARGweaver_cputime,ARGweaver_RFrooted,ARGweaver_edgesets,ARGweaver_edges,ARGweaver_memory,ARGweaver_KCrooted
1891,10,5000,10000,2.5e-08,1.5e-08,0.01,1495460253,True,True,True,True,13.622763670953491,3.0,13202.0478671,52048.0,13201.9533171,12.0,9.0,0.0,12.3782,18.0,2064384.0,10.24532718831648,12.156800687931444,0.33,3.5798,,13.958,,13.5798,40083456.0,9.684564251798527,22.56102834535696,5.5,9.0,13192.4869671,52048.0,13192.2033171,24.5,7.0,2.0,2.77,7.3782,,11.0,116858880.0,11.926015987562561,15.153677199927454,53576.05329782248,53787.38122669964,34768.0,3.16107,13.2695,"20,120,140,160,180,40,100,0,80,60",182.6,13.71192,32.0,64.0,43560960.0,11.733889376793233
1892,10,5000,10000,2.5e-08,1.5e-08,0.1,1495460253,True,True,True,True,14.368345854547865,4.0,13200.5478671,52048.0,13200.4533171,14.0,9.0,0.0,14.3782,18.0,2056192.0,10.295157747924756,11.556642459477432,0.32,2.7899,,11.958,,11.5798,38268928.0,10.031709964627662,22.56102834535696,5.5,9.0,13189.9869671,52048.0,13189.7033171,24.5,7.0,2.0,2.49,7.3782,,11.0,116707328.0,11.926015987562561,14.85529596162387,50962.74939984961,51342.29492802944,34768.0,3.3150399999999998,13.5832,"80,180,60,20,40,140,120,100,160,0",189.8,14.256720000000001,29.7,59.4,37617664.0,12.305818065201112
1893,50,5000,10000,2.5e-08,1.5e-08,0.0,537018910,True,True,True,True,96.08945048815438,17.518974233635,21661.233533775227,54096.0,21660.741120892046,71.16574846727,52.0,0.0,73.16574846727,104.0,2121728.0,48.92226594705576,92.24657980463991,2.2800000000000002,17.7704,,74.6188,,71.9636,97005568.0,49.213799966560394,225.61675549670872,4.588235294117646,12.0,21534.263447888035,52048.0,21534.04344792197,11.632352941176471,42.694491144588,17.0,2.67,43.737658254582,,78.0,116760576.0,44.203612177513534,106.51152732870364,95248.54181198264,96608.13202220298,36816.0,18.171470000000006,76.20985999999998,"20,120,160,40,140,80,60,100,180,0",650.8000000000002,77.30888,97.0,194.0,106885120.0,46.04601101594939
1894,50,5000,10000,2.5e-08,1.5e-08,0.01,537018910,True,True,True,True,101.93463716707492,18.622305001213,21675.86687150973,54096.0,21675.810611437613,73.714314184471,73.0,0.0,75.714314184471,146.0,2170880.0,51.012219728653356,95.12314266439728,2.4,18.6237,,76.9518,,75.1137,93995008.0,51.70532281043032,218.78444384091054,5.25,12.0,21536.69312808304,52048.0,21536.69312808304,13.477272727272727,46.7942,12.0,2.3200000000000003,48.137533288088,,63.0,116764672.0,43.517755320031824,123.99400939357056,98050.33270795355,99096.92631800225,37020.8,18.880180000000003,80.85118,"120,160,20,80,140,180,100,60,40,0",700.54,82.46472,108.7,217.4,87650304.0,55.86101940047424
1895,50,5000,10000,2.5e-08,1.5e-08,0.1,537018910,True,True,True,True,150.18792062673455,21.808378051360503,21833.641655365245,56144.0,21833.39592439245,92.08799584141359,139.0,0.0,94.08799584141359,278.0,2072576.0,77.5682121892097,139.70654914514975,2.29,21.1336,,88.8301,,86.8301,96055296.0,70.67744946039245,220.94280206469548,6.466666666666668,11.0,21533.676895118664,52048.0,21533.676895118664,6.695238095238096,53.766112622515,15.0,2.28,55.61011262251501,,97.0,116871168.0,50.773259565947285,143.42775294895975,136209.51435464484,136209.51435464484,39007.1,21.242449999999998,91.34628000000001,"0,60,40,80,20,100,180,120,140,160",923.19,93.33250000000001,205.8,411.6,57643008.0,71.12591848220588
1896,10,5000,10000,2.5e-08,5.9716075583e-08,0.0,1156067590,True,True,True,True,12.78690785253551,2.927647961584,11563.295972209973,52048.0,11562.94044838666,9.743848276546,18.0,0.0,10.769295923168,36.0,2064384.0,9.99671501278537,9.048808363531032,1.12,1.8854,,7.9895,,6.6571,56053760.0,8.3637582346495,15.435439070027357,2.7142857142857144,5.0,11549.666393552805,52048.0,11549.592138361299,0.9890109890109892,5.514642591286,14.0,2.57,5.827948413446999,,38.0,117407744.0,9.344947533060306,11.858141446996383,44892.3106955745,45539.963113043916,34768.0,2.31599,8.656320000000001,"60,0,80,20,140,100,160,120,180,40",239.14,9.598139999999999,37.6,75.2,29360128.0,9.482624194569157
1897,10,5000,10000,2.5e-08,5.9716075583e-08,0.01,1156067590,True,True,True,True,12.78690785253551,2.927647961584,11563.295972209971,52048.0,11562.94044838666,9.743848276546,18.0,0.0,10.769295923168,36.0,2039808.0,9.99671501278537,9.048808363531032,1.08,1.8854,,7.9895,,6.6571,60624896.0,8.3637582346495,15.626623050323415,2.636363636363636,5.0,11549.243459605264,52048.0,11548.975908974608,1.2545454545454546,7.890838030438999,11.0,2.64,8.482939291753,,29.0,116502528.0,8.447047455543384,11.858141446996383,44892.3106955745,45539.963113043916,34768.0,2.31599,8.656320000000001,"180,100,60,140,80,40,120,20,160,0",240.56000000000003,9.59814,37.6,75.2,29364224.0,9.482624194569157
1898,10,5000,10000,2.5e-08,5.9716075583e-08,0.1,1156067590,True,True,True,True,14.036090647372959,2.8843995835645497,11548.570605064853,52048.0,11545.232743352977,11.2002386600871,37.0,0.0,13.695661513386,74.0,2015232.0,14.35546412008251,12.926584618025586,1.26,3.00775,,12.5075,,11.0863,62144512.0,10.42754175370393,14.390326499479047,2.117647058823529,3.0,11543.112167021867,52048.0,11542.007867021868,0.11029411764705888,11.043448028818,17.0,2.67,12.515848028817999,2.870237130566564,36.0,117116928.0,12.273117907602453,13.374965819747384,53891.93564755363,54562.46446920733,34777.1,2.8952299999999997,10.93016,"100,160,180,120,40,60,80,20,0,140",298.6,12.223239999999999,63.7,127.4,23101440.0,11.280415819912553
1899,50,5000,10000,2.5e-08,5.9716075583e-08,0.0,1530986259,True,True,True,True,117.3264462771507,16.4790151022785,27187.445150017935,54096.0,27186.75759836303,63.99170940414599,76.0,0.0,66.205412949422,152.0,2084864.0,72.90361845660439,91.47071781012608,6.84,13.74835,,57.7978,,56.8771,218685440.0,45.835787703639475,192.917433007712,3.4222222222222216,9.0,26987.521366875117,54096.0,26986.968198487797,4.158585858585858,36.4090011259336,45.0,2.69,36.8410660650297,,154.0,116994048.0,46.728521944568264,97.18316143861098,85104.98037747221,85474.22200762696,36816.0,14.767900000000001,57.85412,"80,40,160,140,20,120,60,100,180,0",891.38,58.430460000000004,97.0,194.0,73580544.0,42.44187835952352
1900,50,5000,10000,2.5e-08,5.9716075583e-08,0.01,1530986259,True,True,True,True,132.98329486199071,16.141556183906,27215.539673255502,56144.0,27215.05886293624,69.74129369596146,117.0,0.0,71.95057975009895,234.0,2093056.0,78.96397576989116,102.20520301170748,5.09,15.2553,,63.2646,,62.2999,207474688.0,54.00742178687048,180.66009953905828,3.13953488372093,9.0,26986.652029607754,54096.0,26986.498480720802,3.741971207087487,40.087054250019996,43.0,2.64,40.559754063676,,135.0,116981760.0,45.47634546837303,99.75420840311975,89362.46388409601,89686.94924487143,36816.0,15.00243,62.641200000000005,"140,20,80,180,60,40,120,100,0,160",676.26,63.393139999999995,105.8,211.6,86650880.0,42.80128747016984
