,Ne,length,sample_size,recombination_rate,mutation_rate,error_param,output_frequency,output_after_generations,tool,averaging,polytomies,rooting,metric,treedist_mean,treedist_se
997,5000,100000,16,1e-08,1.3228756555322952e-07,EmpiricalErrorPlatinum1000G,0.5,0,ARGweaver,per site,retained,rooted,RF,10.780888719999998,0.406255976385191
999,5000,100000,16,1e-08,1.3228756555322952e-07,EmpiricalErrorPlatinum1000G,0.5,0,ARGweaver,per site,retained,unrooted,RF,10.245284799999997,0.4067796731615537
1000,5000,100000,16,1e-08,1.3228756555322952e-07,EmpiricalErrorPlatinum1000G,0.5,0,ARGweaver,per site,retained,unrooted,SPR,2.8264822958040634,0.08873396790450973
1001,5000,100000,16,1e-08,1.3228756555322952e-07,EmpiricalErrorPlatinum1000G,0.5,0,ARGweaver,per site,retained,unrooted,path,16.95184814672647,0.6353309494802869
1003,5000,100000,16,1e-08,1.3228756555322952e-07,EmpiricalErrorPlatinum1000G,0.5,0,RentPlus,per site,retained,rooted,KC,12.548302691924393,0.3888503419212468
1004,5000,100000,16,1e-08,1.3228756555322952e-07,EmpiricalErrorPlatinum1000G,0.5,0,RentPlus,per site,retained,rooted,RF,12.7032678,0.3486680190304754
1005,5000,100000,16,1e-08,1.3228756555322952e-07,EmpiricalErrorPlatinum1000G,0.5,0,RentPlus,per site,retained,unrooted,RF,11.990877400000002,0.354741126761567
1006,5000,100000,16,1e-08,1.3228756555322952e-07,EmpiricalErrorPlatinum1000G,0.5,0,RentPlus,per site,retained,unrooted,SPR,3.257761983046493,0.07969602225051542
1007,5000,100000,16,1e-08,1.3228756555322952e-07,EmpiricalErrorPlatinum1000G,0.5,0,RentPlus,per site,retained,unrooted,path,19.442480020125704,0.5921363438809732
1008,5000,100000,16,1e-08,1.3228756555322952e-07,EmpiricalErrorPlatinum1000G,0.5,0,fastARG,per site,retained,rooted,KC,17.974390187636438,0.4597017355348499
1009,5000,100000,16,1e-08,1.3228756555322952e-07,EmpiricalErrorPlatinum1000G,0.5,0,fastARG,per site,retained,rooted,RF,17.48419937574278,0.3474597416260664
1011,5000,100000,16,1e-08,1.3228756555322952e-07,EmpiricalErrorPlatinum1000G,0.5,0,fastARG,per site,retained,unrooted,RF,15.008457157799718,0.3466584187537274
1012,5000,100000,16,1e-08,1.3228756555322952e-07,EmpiricalErrorPlatinum1000G,0.5,0,fastARG,per site,retained,unrooted,SPR,3.968589470151763,0.08594205096964301
1013,5000,100000,16,1e-08,1.3228756555322952e-07,EmpiricalErrorPlatinum1000G,0.5,0,fastARG,per site,retained,unrooted,path,22.76336917217442,0.5945369816787309
1015,5000,100000,16,1e-08,1.3228756555322952e-07,EmpiricalErrorPlatinum1000G,0.5,0,tsinfer,per site,broken,rooted,KC,11.634227568146693,0.31307866698582676
1016,5000,100000,16,1e-08,1.3228756555322952e-07,EmpiricalErrorPlatinum1000G,0.5,0,tsinfer,per site,broken,rooted,RF,13.0460487761645,0.3404720964126008
1018,5000,100000,16,1e-08,1.3228756555322952e-07,EmpiricalErrorPlatinum1000G,0.5,0,tsinfer,per site,broken,unrooted,RF,12.554204172945147,0.3482722247586435
1019,5000,100000,16,1e-08,1.3228756555322952e-07,EmpiricalErrorPlatinum1000G,0.5,0,tsinfer,per site,broken,unrooted,SPR,3.3652541633368775,0.08134883771234842
1020,5000,100000,16,1e-08,1.3228756555322952e-07,EmpiricalErrorPlatinum1000G,0.5,0,tsinfer,per site,broken,unrooted,path,18.757078143117372,0.49404069849116533
1022,5000,100000,16,1e-08,1.3228756555322952e-07,EmpiricalErrorPlatinum1000G,0.5,0,tsinfer,per site,retained,rooted,KC,10.12469814977144,0.33166083673623487
1026,5000,100000,16,1e-08,1.3228756555322952e-07,EmpiricalErrorPlatinum1000G,0.5,0,tsinfer,per site,retained,unrooted,SPR,2.7762623102916795,0.4289609361347764
1027,5000,100000,16,1e-08,1.3228756555322952e-07,EmpiricalErrorPlatinum1000G,0.5,0,tsinfer,per site,retained,unrooted,path,22.470279950043434,0.80458140160052
1029,5000,100000,16,1e-08,1.3228756555322952e-07,EmpiricalErrorPlatinum1000G,0.8,0,ARGweaver,per site,retained,rooted,KC,16.488377546326195,0.5667626040963325
1030,5000,100000,16,1e-08,1.3228756555322952e-07,EmpiricalErrorPlatinum1000G,0.8,0,ARGweaver,per site,retained,rooted,RF,15.617836120000002,0.5028815590413391
1032,5000,100000,16,1e-08,1.3228756555322952e-07,EmpiricalErrorPlatinum1000G,0.8,0,ARGweaver,per site,retained,unrooted,RF,15.23905272,0.5022987220250376
1033,5000,100000,16,1e-08,1.3228756555322952e-07,EmpiricalErrorPlatinum1000G,0.8,0,ARGweaver,per site,retained,unrooted,SPR,3.922699079625471,0.11151627892189273
1034,5000,100000,16,1e-08,1.3228756555322952e-07,EmpiricalErrorPlatinum1000G,0.8,0,ARGweaver,per site,retained,unrooted,path,23.223996057436306,0.675696362678951
1036,5000,100000,16,1e-08,1.3228756555322952e-07,EmpiricalErrorPlatinum1000G,0.8,0,RentPlus,per site,retained,rooted,KC,19.637700005970377,0.7448457974123527
1037,5000,100000,16,1e-08,1.3228756555322952e-07,EmpiricalErrorPlatinum1000G,0.8,0,RentPlus,per site,retained,rooted,RF,16.886530399999998,0.3963443823785284
1038,5000,100000,16,1e-08,1.3228756555322952e-07,EmpiricalErrorPlatinum1000G,0.8,0,RentPlus,per site,retained,unrooted,RF,16.3999156,0.3990978680232032
1039,5000,100000,16,1e-08,1.3228756555322952e-07,EmpiricalErrorPlatinum1000G,0.8,0,RentPlus,per site,retained,unrooted,SPR,4.031507567954065,0.09024317668215893
1040,5000,100000,16,1e-08,1.3228756555322952e-07,EmpiricalErrorPlatinum1000G,0.8,0,RentPlus,per site,retained,unrooted,path,26.17258822115892,0.7281994213151657
1041,5000,100000,16,1e-08,1.3228756555322952e-07,EmpiricalErrorPlatinum1000G,0.8,0,fastARG,per site,retained,rooted,KC,23.500513387615648,0.7778713451019552
1042,5000,100000,16,1e-08,1.3228756555322952e-07,EmpiricalErrorPlatinum1000G,0.8,0,fastARG,per site,retained,rooted,RF,19.617756037141582,0.4081665818250255
1044,5000,100000,16,1e-08,1.3228756555322952e-07,EmpiricalErrorPlatinum1000G,0.8,0,fastARG,per site,retained,unrooted,RF,17.328292553979747,0.4245587654191501
1045,5000,100000,16,1e-08,1.3228756555322952e-07,EmpiricalErrorPlatinum1000G,0.8,0,fastARG,per site,retained,unrooted,SPR,4.330082527616727,0.10099107179865187
1046,5000,100000,16,1e-08,1.3228756555322952e-07,EmpiricalErrorPlatinum1000G,0.8,0,fastARG,per site,retained,unrooted,path,28.016287956324064,0.8000717063990321
1048,5000,100000,16,1e-08,1.3228756555322952e-07,EmpiricalErrorPlatinum1000G,0.8,0,tsinfer,per site,broken,rooted,KC,16.63481566753883,0.44335937916807633
1049,5000,100000,16,1e-08,1.3228756555322952e-07,EmpiricalErrorPlatinum1000G,0.8,0,tsinfer,per site,broken,rooted,RF,16.914420159985912,0.40348233849273357
1051,5000,100000,16,1e-08,1.3228756555322952e-07,EmpiricalErrorPlatinum1000G,0.8,0,tsinfer,per site,broken,unrooted,RF,16.589434468461917,0.4017775831652282
1052,5000,100000,16,1e-08,1.3228756555322952e-07,EmpiricalErrorPlatinum1000G,0.8,0,tsinfer,per site,broken,unrooted,SPR,4.222343604134193,0.08713047671873034
1053,5000,100000,16,1e-08,1.3228756555322952e-07,EmpiricalErrorPlatinum1000G,0.8,0,tsinfer,per site,broken,unrooted,path,24.03500000112909,0.5311491735317606
1055,5000,100000,16,1e-08,1.3228756555322952e-07,EmpiricalErrorPlatinum1000G,0.8,0,tsinfer,per site,retained,rooted,KC,13.632552321502788,0.4527194394375236
1059,5000,100000,16,1e-08,1.3228756555322952e-07,EmpiricalErrorPlatinum1000G,0.8,0,tsinfer,per site,retained,unrooted,path,32.76128646749829,0.9944217506191628
1061,5000,100000,16,1e-08,1.3228756555322952e-07,EmpiricalErrorPlatinum1000G,1.0,0,ARGweaver,per site,retained,rooted,KC,23.00414443981567,0.5769914561324795
1062,5000,100000,16,1e-08,1.3228756555322952e-07,EmpiricalErrorPlatinum1000G,1.0,0,ARGweaver,per site,retained,rooted,RF,19.785381159999993,0.44319636994657247
1064,5000,100000,16,1e-08,1.3228756555322952e-07,EmpiricalErrorPlatinum1000G,1.0,0,ARGweaver,per site,retained,unrooted,RF,17.95714108,0.47169853783736815
1065,5000,100000,16,1e-08,1.3228756555322952e-07,EmpiricalErrorPlatinum1000G,1.0,0,ARGweaver,per site,retained,unrooted,SPR,4.497245190127537,0.10682757545292211
1066,5000,100000,16,1e-08,1.3228756555322952e-07,EmpiricalErrorPlatinum1000G,1.0,0,ARGweaver,per site,retained,unrooted,path,25.897286065646146,0.6780219422029886
1068,5000,100000,16,1e-08,1.3228756555322952e-07,EmpiricalErrorPlatinum1000G,1.0,0,RentPlus,per site,retained,rooted,KC,26.153902323342532,1.300348002913077
1069,5000,100000,16,1e-08,1.3228756555322952e-07,EmpiricalErrorPlatinum1000G,1.0,0,RentPlus,per site,retained,rooted,RF,19.514320199999997,0.5073167964389718
1070,5000,100000,16,1e-08,1.3228756555322952e-07,EmpiricalErrorPlatinum1000G,1.0,0,RentPlus,per site,retained,unrooted,RF,17.761345000000002,0.5237067113071037
1071,5000,100000,16,1e-08,1.3228756555322952e-07,EmpiricalErrorPlatinum1000G,1.0,0,RentPlus,per site,retained,unrooted,SPR,4.385425189557182,0.1278219191472517
1072,5000,100000,16,1e-08,1.3228756555322952e-07,EmpiricalErrorPlatinum1000G,1.0,0,RentPlus,per site,retained,unrooted,path,27.56387117013792,0.9364096644676507
1073,5000,100000,16,1e-08,1.3228756555322952e-07,EmpiricalErrorPlatinum1000G,1.0,0,fastARG,per site,retained,rooted,KC,27.500273472728523,1.535349440966191
1074,5000,100000,16,1e-08,1.3228756555322952e-07,EmpiricalErrorPlatinum1000G,1.0,0,fastARG,per site,retained,rooted,RF,20.256915623529142,0.526012190870982
1076,5000,100000,16,1e-08,1.3228756555322952e-07,EmpiricalErrorPlatinum1000G,1.0,0,fastARG,per site,retained,unrooted,RF,17.864259140049953,0.49975809381823344
1077,5000,100000,16,1e-08,1.3228756555322952e-07,EmpiricalErrorPlatinum1000G,1.0,0,fastARG,per site,retained,unrooted,SPR,4.366208401571106,0.12172486882074052
1078,5000,100000,16,1e-08,1.3228756555322952e-07,EmpiricalErrorPlatinum1000G,1.0,0,fastARG,per site,retained,unrooted,path,29.234371303579543,1.084058761624772
1080,5000,100000,16,1e-08,1.3228756555322952e-07,EmpiricalErrorPlatinum1000G,1.0,0,tsinfer,per site,broken,rooted,KC,19.696884062546136,0.6437204026516646
1081,5000,100000,16,1e-08,1.3228756555322952e-07,EmpiricalErrorPlatinum1000G,1.0,0,tsinfer,per site,broken,rooted,RF,19.017012962248458,0.44296330926253596
1083,5000,100000,16,1e-08,1.3228756555322952e-07,EmpiricalErrorPlatinum1000G,1.0,0,tsinfer,per site,broken,unrooted,RF,17.54696941952999,0.4528849234901541
1084,5000,100000,16,1e-08,1.3228756555322952e-07,EmpiricalErrorPlatinum1000G,1.0,0,tsinfer,per site,broken,unrooted,SPR,4.387801671484548,0.10294266630338372
1085,5000,100000,16,1e-08,1.3228756555322952e-07,EmpiricalErrorPlatinum1000G,1.0,0,tsinfer,per site,broken,unrooted,path,24.79804587483295,0.6162554557809395
1087,5000,100000,16,1e-08,1.3228756555322952e-07,EmpiricalErrorPlatinum1000G,1.0,0,tsinfer,per site,retained,rooted,KC,16.8453226163661,0.7541976265065224
1091,5000,100000,16,1e-08,1.3228756555322952e-07,EmpiricalErrorPlatinum1000G,1.0,0,tsinfer,per site,retained,unrooted,path,36.88219199667113,0.9632003673957615
1093,5000,100000,16,1e-08,1.3228756555322952e-07,EmpiricalErrorPlatinum1000G,1.0,200,ARGweaver,per site,retained,rooted,KC,23.862599020957756,0.5607937490132447
1094,5000,100000,16,1e-08,1.3228756555322952e-07,EmpiricalErrorPlatinum1000G,1.0,200,ARGweaver,per site,retained,rooted,RF,19.187893880000004,0.3905998290429061
1096,5000,100000,16,1e-08,1.3228756555322952e-07,EmpiricalErrorPlatinum1000G,1.0,200,ARGweaver,per site,retained,unrooted,RF,17.151383560000003,0.4099450283051681
1097,5000,100000,16,1e-08,1.3228756555322952e-07,EmpiricalErrorPlatinum1000G,1.0,200,ARGweaver,per site,retained,unrooted,SPR,4.251858748885318,0.08745418865356895
1098,5000,100000,16,1e-08,1.3228756555322952e-07,EmpiricalErrorPlatinum1000G,1.0,200,ARGweaver,per site,retained,unrooted,path,25.71952446345541,0.6320086411834155
1100,5000,100000,16,1e-08,1.3228756555322952e-07,EmpiricalErrorPlatinum1000G,1.0,200,RentPlus,per site,retained,rooted,KC,25.652259960883548,0.9957594966176049
1101,5000,100000,16,1e-08,1.3228756555322952e-07,EmpiricalErrorPlatinum1000G,1.0,200,RentPlus,per site,retained,rooted,RF,18.7842168,0.4216518496800983
1102,5000,100000,16,1e-08,1.3228756555322952e-07,EmpiricalErrorPlatinum1000G,1.0,200,RentPlus,per site,retained,unrooted,RF,16.843966800000004,0.44497529491536436
1103,5000,100000,16,1e-08,1.3228756555322952e-07,EmpiricalErrorPlatinum1000G,1.0,200,RentPlus,per site,retained,unrooted,SPR,4.185227865038618,0.09926826547412952
1104,5000,100000,16,1e-08,1.3228756555322952e-07,EmpiricalErrorPlatinum1000G,1.0,200,RentPlus,per site,retained,unrooted,path,25.94144838543607,0.7967079496539045
1105,5000,100000,16,1e-08,1.3228756555322952e-07,EmpiricalErrorPlatinum1000G,1.0,200,fastARG,per site,retained,rooted,KC,26.847080526611308,1.116003869735064
1106,5000,100000,16,1e-08,1.3228756555322952e-07,EmpiricalErrorPlatinum1000G,1.0,200,fastARG,per site,retained,rooted,RF,20.106919418829044,0.3934210254694782
1108,5000,100000,16,1e-08,1.3228756555322952e-07,EmpiricalErrorPlatinum1000G,1.0,200,fastARG,per site,retained,unrooted,RF,17.56520792817253,0.42249188380702607
1109,5000,100000,16,1e-08,1.3228756555322952e-07,EmpiricalErrorPlatinum1000G,1.0,200,fastARG,per site,retained,unrooted,SPR,4.330595009336829,0.09804097760129288
1110,5000,100000,16,1e-08,1.3228756555322952e-07,EmpiricalErrorPlatinum1000G,1.0,200,fastARG,per site,retained,unrooted,path,27.19392407398254,0.8958544829805757
1112,5000,100000,16,1e-08,1.3228756555322952e-07,EmpiricalErrorPlatinum1000G,1.0,200,tsinfer,per site,broken,rooted,KC,19.260405555126773,0.5966438869574068
1113,5000,100000,16,1e-08,1.3228756555322952e-07,EmpiricalErrorPlatinum1000G,1.0,200,tsinfer,per site,broken,rooted,RF,18.36762451627372,0.4401364503876131
1115,5000,100000,16,1e-08,1.3228756555322952e-07,EmpiricalErrorPlatinum1000G,1.0,200,tsinfer,per site,broken,unrooted,RF,16.89913099794386,0.4395011590685343
1116,5000,100000,16,1e-08,1.3228756555322952e-07,EmpiricalErrorPlatinum1000G,1.0,200,tsinfer,per site,broken,unrooted,SPR,4.207190995052398,0.09355557873069731
1117,5000,100000,16,1e-08,1.3228756555322952e-07,EmpiricalErrorPlatinum1000G,1.0,200,tsinfer,per site,broken,unrooted,path,24.677442958387328,0.6226838163506561
1119,5000,100000,16,1e-08,1.3228756555322952e-07,EmpiricalErrorPlatinum1000G,1.0,200,tsinfer,per site,retained,rooted,KC,17.026276713888617,0.6011507861538994
1123,5000,100000,16,1e-08,1.3228756555322952e-07,EmpiricalErrorPlatinum1000G,1.0,200,tsinfer,per site,retained,unrooted,path,34.72129328155231,1.022224214228323
1125,5000,100000,16,1e-08,1.3228756555322952e-07,EmpiricalErrorPlatinum1000G,1.0,1000,ARGweaver,per site,retained,rooted,KC,19.137479276790838,0.5139438638886745
1126,5000,100000,16,1e-08,1.3228756555322952e-07,EmpiricalErrorPlatinum1000G,1.0,1000,ARGweaver,per site,retained,rooted,RF,14.47176992,0.3014839480786506
1128,5000,100000,16,1e-08,1.3228756555322952e-07,EmpiricalErrorPlatinum1000G,1.0,1000,ARGweaver,per site,retained,unrooted,RF,12.438054999999997,0.2868808345757137
1129,5000,100000,16,1e-08,1.3228756555322952e-07,EmpiricalErrorPlatinum1000G,1.0,1000,ARGweaver,per site,retained,unrooted,SPR,3.225524295365841,0.07596062466027374
1130,5000,100000,16,1e-08,1.3228756555322952e-07,EmpiricalErrorPlatinum1000G,1.0,1000,ARGweaver,per site,retained,unrooted,path,20.548833552412997,0.33291263966689666
1132,5000,100000,16,1e-08,1.3228756555322952e-07,EmpiricalErrorPlatinum1000G,1.0,1000,RentPlus,per site,retained,rooted,KC,19.314728912044117,0.35285191890610557
1133,5000,100000,16,1e-08,1.3228756555322952e-07,EmpiricalErrorPlatinum1000G,1.0,1000,RentPlus,per site,retained,rooted,RF,14.485400599999998,0.28872357134151116
1134,5000,100000,16,1e-08,1.3228756555322952e-07,EmpiricalErrorPlatinum1000G,1.0,1000,RentPlus,per site,retained,unrooted,RF,12.558968599999996,0.2863256690830174
1135,5000,100000,16,1e-08,1.3228756555322952e-07,EmpiricalErrorPlatinum1000G,1.0,1000,RentPlus,per site,retained,unrooted,SPR,3.276608398675114,0.07282272777684652
1136,5000,100000,16,1e-08,1.3228756555322952e-07,EmpiricalErrorPlatinum1000G,1.0,1000,RentPlus,per site,retained,unrooted,path,20.83665464913615,0.34824946360139764
1137,5000,100000,16,1e-08,1.3228756555322952e-07,EmpiricalErrorPlatinum1000G,1.0,1000,fastARG,per site,retained,rooted,KC,22.11752726412445,0.5821136954302134
1138,5000,100000,16,1e-08,1.3228756555322952e-07,EmpiricalErrorPlatinum1000G,1.0,1000,fastARG,per site,retained,rooted,RF,16.304101756700646,0.32671495137803425
1140,5000,100000,16,1e-08,1.3228756555322952e-07,EmpiricalErrorPlatinum1000G,1.0,1000,fastARG,per site,retained,unrooted,RF,13.751351876625645,0.32040544379480757
1141,5000,100000,16,1e-08,1.3228756555322952e-07,EmpiricalErrorPlatinum1000G,1.0,1000,fastARG,per site,retained,unrooted,SPR,3.5339728856725303,0.08627934475904228
1142,5000,100000,16,1e-08,1.3228756555322952e-07,EmpiricalErrorPlatinum1000G,1.0,1000,fastARG,per site,retained,unrooted,path,22.42080572606954,0.454363819380869
1144,5000,100000,16,1e-08,1.3228756555322952e-07,EmpiricalErrorPlatinum1000G,1.0,1000,tsinfer,per site,broken,rooted,KC,18.43279316411168,0.4450731223051607
1145,5000,100000,16,1e-08,1.3228756555322952e-07,EmpiricalErrorPlatinum1000G,1.0,1000,tsinfer,per site,broken,rooted,RF,14.635801041025196,0.29560606551716745
1147,5000,100000,16,1e-08,1.3228756555322952e-07,EmpiricalErrorPlatinum1000G,1.0,1000,tsinfer,per site,broken,unrooted,RF,12.973864706085235,0.289535195244002
1148,5000,100000,16,1e-08,1.3228756555322952e-07,EmpiricalErrorPlatinum1000G,1.0,1000,tsinfer,per site,broken,unrooted,SPR,3.346860051809616,0.07503472142159595
1149,5000,100000,16,1e-08,1.3228756555322952e-07,EmpiricalErrorPlatinum1000G,1.0,1000,tsinfer,per site,broken,unrooted,path,21.05052939595645,0.35932767303575947
1151,5000,100000,16,1e-08,1.3228756555322952e-07,EmpiricalErrorPlatinum1000G,1.0,1000,tsinfer,per site,retained,rooted,KC,15.642891733225383,0.45462873826618744
1155,5000,100000,16,1e-08,1.3228756555322952e-07,EmpiricalErrorPlatinum1000G,1.0,1000,tsinfer,per site,retained,unrooted,SPR,3.3183431209533287,
1156,5000,100000,16,1e-08,1.3228756555322952e-07,EmpiricalErrorPlatinum1000G,1.0,1000,tsinfer,per site,retained,unrooted,path,24.6105920091585,0.4990288674943502
1158,5000,100000,16,1e-08,6.804457946348874e-07,0,0.2,0,ARGweaver,per site,retained,rooted,KC,3.601181116746805,0.19161201280236737
1159,5000,100000,16,1e-08,6.804457946348874e-07,0,0.2,0,ARGweaver,per site,retained,rooted,RF,1.8363889199999996,0.17065008761451456
1161,5000,100000,16,1e-08,6.804457946348874e-07,0,0.2,0,ARGweaver,per site,retained,unrooted,RF,1.5017176800000005,0.17269266327778204
1162,5000,100000,16,1e-08,6.804457946348874e-07,0,0.2,0,ARGweaver,per site,retained,unrooted,SPR,0.5991846734693876,0.06360779249432556
1163,5000,100000,16,1e-08,6.804457946348874e-07,0,0.2,0,ARGweaver,per site,retained,unrooted,path,3.83092307613496,0.3652169150472959
1165,5000,100000,16,1e-08,6.804457946348874e-07,0,0.2,0,RentPlus,per site,retained,rooted,KC,4.678613259264529,0.19104740640464699
1166,5000,100000,16,1e-08,6.804457946348874e-07,0,0.2,0,RentPlus,per site,retained,rooted,RF,2.4575020000000003,0.20245006930447748
1167,5000,100000,16,1e-08,6.804457946348874e-07,0,0.2,0,RentPlus,per site,retained,unrooted,RF,1.7888095999999993,0.209432333308829
1168,5000,100000,16,1e-08,6.804457946348874e-07,0,0.2,0,RentPlus,per site,retained,unrooted,SPR,0.7401561224489795,0.0799950138416464
1169,5000,100000,16,1e-08,6.804457946348874e-07,0,0.2,0,RentPlus,per site,retained,unrooted,path,4.526447313822117,0.40226853288793
1170,5000,100000,16,1e-08,6.804457946348874e-07,0,0.2,0,fastARG,per site,retained,rooted,KC,11.421171378309843,0.2983669542567577
1171,5000,100000,16,1e-08,6.804457946348874e-07,0,0.2,0,fastARG,per site,retained,rooted,RF,4.831584894508129,0.23878617235868027
1173,5000,100000,16,1e-08,6.804457946348874e-07,0,0.2,0,fastARG,per site,retained,unrooted,RF,2.2767095690873007,0.22479579671155428
1174,5000,100000,16,1e-08,6.804457946348874e-07,0,0.2,0,fastARG,per site,retained,unrooted,SPR,0.8629118098955728,0.0756353936278976
1175,5000,100000,16,1e-08,6.804457946348874e-07,0,0.2,0,fastARG,per site,retained,unrooted,path,5.494205355844016,0.4122122950668238
1177,5000,100000,16,1e-08,6.804457946348874e-07,0,0.2,0,tsinfer,per site,broken,rooted,KC,2.6801232805269195,0.1619331514978017
1178,5000,100000,16,1e-08,6.804457946348874e-07,0,0.2,0,tsinfer,per site,broken,rooted,RF,2.0090813970642762,0.18067763145382193
1180,5000,100000,16,1e-08,6.804457946348874e-07,0,0.2,0,tsinfer,per site,broken,unrooted,RF,1.8944506145720852,0.18077622055146012
1181,5000,100000,16,1e-08,6.804457946348874e-07,0,0.2,0,tsinfer,per site,broken,unrooted,SPR,0.754429332988153,0.0669333427544857
1182,5000,100000,16,1e-08,6.804457946348874e-07,0,0.2,0,tsinfer,per site,broken,unrooted,path,4.715643589537368,0.35500963483818315
1184,5000,100000,16,1e-08,6.804457946348874e-07,0,0.2,0,tsinfer,per site,retained,rooted,KC,2.7505636928134716,0.1802568779170424
1188,5000,100000,16,1e-08,6.804457946348874e-07,0,0.2,0,tsinfer,per site,retained,unrooted,SPR,0.44832607274197844,0.047098895480958296
1189,5000,100000,16,1e-08,6.804457946348874e-07,0,0.2,0,tsinfer,per site,retained,unrooted,path,5.630960989630516,0.5073067696118346
1191,5000,100000,16,1e-08,6.804457946348874e-07,0,0.5,0,ARGweaver,per site,retained,rooted,KC,5.223452004835875,0.31981739882694943
1192,5000,100000,16,1e-08,6.804457946348874e-07,0,0.5,0,ARGweaver,per site,retained,rooted,RF,3.5960495599999995,0.32012098220915025
1194,5000,100000,16,1e-08,6.804457946348874e-07,0,0.5,0,ARGweaver,per site,retained,unrooted,RF,3.20886616,0.3272732282698474
1195,5000,100000,16,1e-08,6.804457946348874e-07,0,0.5,0,ARGweaver,per site,retained,unrooted,SPR,1.112470822891158,0.0886095360009774
1196,5000,100000,16,1e-08,6.804457946348874e-07,0,0.5,0,ARGweaver,per site,retained,unrooted,path,7.485240545607919,0.6155022035889862
1198,5000,100000,16,1e-08,6.804457946348874e-07,0,0.5,0,RentPlus,per site,retained,rooted,KC,5.926916700332031,0.3198469227050468
1199,5000,100000,16,1e-08,6.804457946348874e-07,0,0.5,0,RentPlus,per site,retained,rooted,RF,3.9384580000000016,0.3295363113795392
1200,5000,100000,16,1e-08,6.804457946348874e-07,0,0.5,0,RentPlus,per site,retained,unrooted,RF,3.297189200000002,0.33392499577108875
1201,5000,100000,16,1e-08,6.804457946348874e-07,0,0.5,0,RentPlus,per site,retained,unrooted,SPR,1.1755218768596782,0.09522688657919313
1202,5000,100000,16,1e-08,6.804457946348874e-07,0,0.5,0,RentPlus,per site,retained,unrooted,path,7.767452370264468,0.6381870709811109
1203,5000,100000,16,1e-08,6.804457946348874e-07,0,0.5,0,fastARG,per site,retained,rooted,KC,11.770039459321005,0.40161582758074
1204,5000,100000,16,1e-08,6.804457946348874e-07,0,0.5,0,fastARG,per site,retained,rooted,RF,6.064775298999872,0.34649020712022344
1206,5000,100000,16,1e-08,6.804457946348874e-07,0,0.5,0,fastARG,per site,retained,unrooted,RF,3.698400082956797,0.32164889389149065
1207,5000,100000,16,1e-08,6.804457946348874e-07,0,0.5,0,fastARG,per site,retained,unrooted,SPR,1.332172055063235,0.09470651435018719
1208,5000,100000,16,1e-08,6.804457946348874e-07,0,0.5,0,fastARG,per site,retained,unrooted,path,8.592756351581563,0.6349258674814265
1210,5000,100000,16,1e-08,6.804457946348874e-07,0,0.5,0,tsinfer,per site,broken,rooted,KC,4.329593523513952,0.31993961541157023
1211,5000,100000,16,1e-08,6.804457946348874e-07,0,0.5,0,tsinfer,per site,broken,rooted,RF,3.5957854057262013,0.3167578372026862
1213,5000,100000,16,1e-08,6.804457946348874e-07,0,0.5,0,tsinfer,per site,broken,unrooted,RF,3.479825214248685,0.31839572788388154
1214,5000,100000,16,1e-08,6.804457946348874e-07,0,0.5,0,tsinfer,per site,broken,unrooted,SPR,1.2225363425652163,0.08833865588457498
1215,5000,100000,16,1e-08,6.804457946348874e-07,0,0.5,0,tsinfer,per site,broken,unrooted,path,7.80735822812111,0.5457305179583045
1217,5000,100000,16,1e-08,6.804457946348874e-07,0,0.5,0,tsinfer,per site,retained,rooted,KC,4.276866924145768,0.3499419810497802
1221,5000,100000,16,1e-08,6.804457946348874e-07,0,0.5,0,tsinfer,per site,retained,unrooted,SPR,0.5373817188315667,0.14621195096035347
1222,5000,100000,16,1e-08,6.804457946348874e-07,0,0.5,0,tsinfer,per site,retained,unrooted,path,10.022151895267564,0.8073174874404947
1224,5000,100000,16,1e-08,6.804457946348874e-07,0,0.8,0,ARGweaver,per site,retained,rooted,KC,9.832592785716633,0.6094236716096401
1225,5000,100000,16,1e-08,6.804457946348874e-07,0,0.8,0,ARGweaver,per site,retained,rooted,RF,6.9269919200000025,0.40109377219422876
1227,5000,100000,16,1e-08,6.804457946348874e-07,0,0.8,0,ARGweaver,per site,retained,unrooted,RF,6.7203753200000005,0.3999265405664909
1228,5000,100000,16,1e-08,6.804457946348874e-07,0,0.8,0,ARGweaver,per site,retained,unrooted,SPR,2.0584344318181818,0.10467560935577369
1229,5000,100000,16,1e-08,6.804457946348874e-07,0,0.8,0,ARGweaver,per site,retained,unrooted,path,13.577836772451779,0.6403864048137992
1231,5000,100000,16,1e-08,6.804457946348874e-07,0,0.8,0,RentPlus,per site,retained,rooted,KC,10.265129567769128,0.5239458489045218
1232,5000,100000,16,1e-08,6.804457946348874e-07,0,0.8,0,RentPlus,per site,retained,rooted,RF,7.231629600000002,0.4216982292894698
1233,5000,100000,16,1e-08,6.804457946348874e-07,0,0.8,0,RentPlus,per site,retained,unrooted,RF,6.779204799999998,0.42693790920415037
1234,5000,100000,16,1e-08,6.804457946348874e-07,0,0.8,0,RentPlus,per site,retained,unrooted,SPR,1.990661590909091,0.11716206408866392
1235,5000,100000,16,1e-08,6.804457946348874e-07,0,0.8,0,RentPlus,per site,retained,unrooted,path,13.422788237677212,0.6440609240221251
