,Ne,length,sample_size,recombination_rate,mutation_rate,error_param,ancestral_state_error_param,tool,averaging,polytomies,rooting,metric,treedist_mean,treedist_se
152,5000,100000,16,1e-08,4.999999999999999e-09,EmpiricalErrorPlatinum1000G,0.01,tsinfer,per site,broken,unrooted,path,21.641084067237774,0.3116027169838989
154,5000,100000,16,1e-08,4.999999999999999e-09,EmpiricalErrorPlatinum1000G,0.01,tsinfer,per site,retained,rooted,KC,14.332510628245936,0.24513735161973965
158,5000,100000,16,1e-08,4.999999999999999e-09,EmpiricalErrorPlatinum1000G,0.01,tsinfer,per site,retained,unrooted,SPR,3.0,
159,5000,100000,16,1e-08,4.999999999999999e-09,EmpiricalErrorPlatinum1000G,0.01,tsinfer,per site,retained,unrooted,path,25.904462430651915,0.4849755822378186
161,5000,100000,16,1e-08,4.999999999999999e-09,EmpiricalErrorPlatinum1000G,0.02,ARGweaver,per site,retained,rooted,KC,15.93428692415647,0.4642739090929467
162,5000,100000,16,1e-08,4.999999999999999e-09,EmpiricalErrorPlatinum1000G,0.02,ARGweaver,per site,retained,rooted,RF,17.512075379310346,0.37564410146352084
164,5000,100000,16,1e-08,4.999999999999999e-09,EmpiricalErrorPlatinum1000G,0.02,ARGweaver,per site,retained,unrooted,RF,15.951908344827588,0.367545840285646
165,5000,100000,16,1e-08,4.999999999999999e-09,EmpiricalErrorPlatinum1000G,0.02,ARGweaver,per site,retained,unrooted,SPR,4.146804758620688,0.08074273832854724
166,5000,100000,16,1e-08,4.999999999999999e-09,EmpiricalErrorPlatinum1000G,0.02,ARGweaver,per site,retained,unrooted,path,21.839406607792263,0.4398210642182473
168,5000,100000,16,1e-08,4.999999999999999e-09,EmpiricalErrorPlatinum1000G,0.02,RentPlus,per site,retained,rooted,KC,15.398262788490321,0.39419631880892864
169,5000,100000,16,1e-08,4.999999999999999e-09,EmpiricalErrorPlatinum1000G,0.02,RentPlus,per site,retained,rooted,RF,15.624172790697678,0.5378531247606216
