Unnamed: 0,replicate,sample_size,Ne,length,recombination_rate,mutation_rate,error_param,edges,n_trees,n_sites,seed,ancestral_state_error_param,RentPlus_completed,fastARG_completed,tsinfer_completed,ARGweaver_completed,tsinfer_max_polytomy,tsinfer_2_pathunrooted,tsinfer_2_wRFunrooted,tsinfer_2_RFunrooted,tsinfer_edges,tsinfer_2_KCrooted,tsinfer_2_SPRunrooted,tsinfer_var_polytomy,tsinfer_0_RFrooted,tsinfer_0_wRFunrooted,tsinfer_0_RFunrooted,tsinfer_2_RFrooted,tsinfer_cputime,tsinfer_memory,tsinfer_0_KCrooted,tsinfer_0_SPRunrooted,tsinfer_0_pathunrooted,tsinfer_ts_filesize,tsinfer_2_wRFrooted,tsinfer_mean_polytomy,tsinfer_0_wRFrooted,fastARG_0_RFunrooted,fastARG_ts_filesize,fastARG_0_KCrooted,fastARG_0_SPRunrooted,fastARG_0_pathunrooted,fastARG_cputime,fastARG_0_wRFunrooted,fastARG_0_RFrooted,fastARG_edges,fastARG_0_wRFrooted,fastARG_memory,RentPlus_0_KCrooted,RentPlus_0_RFunrooted,RentPlus_memory,RentPlus_cputime,RentPlus_0_wRFunrooted,RentPlus_0_SPRunrooted,RentPlus_0_pathunrooted,RentPlus_0_RFrooted,RentPlus_0_wRFrooted,ARGweaver_0_wRFunrooted,ARGweaver_cputime,ARGweaver_iterations,ARGweaver_0_RFunrooted,ARGweaver_memory,ARGweaver_0_SPRunrooted,ARGweaver_0_pathunrooted,ARGweaver_ts_filesize,ARGweaver_edges,ARGweaver_0_wRFrooted,ARGweaver_0_RFrooted,ARGweaver_0_KCrooted
4018,95,16,5000,100000,1e-08,3.941867581552624e-07,EmpiricalErrorPlatinum1000G,155,37,1632,1261910967,0.01,True,False,True,False,104.0,9.178234606989763,41249.99154443319,4.365479810703128,1045.0,6.278838900993295,1.4028967337688742,73.90429955418382,4.577850248780473,41249.99154443319,4.01431347340627,4.9552539143504015,0.74,59617280.0,6.008431254359532,1.158578891979127,9.760599403855656,110636.0,41251.21557305882,4.837962962962963,41251.21557305882,,,,,,,,,,,,9.649842241602467,4.11439,608612352.0,14.98,,1.37916,8.642469505552938,5.67531,,,,,,,,,,,,,
4019,95,16,5000,100000,1e-08,3.941867581552624e-07,EmpiricalErrorPlatinum1000G,155,37,1632,1261910967,0.02,False,True,True,False,120.0,7.856317133265277,41251.12702221267,3.9092908767434986,1062.0,5.8489804839123725,1.3112607256803444,87.05467726438991,4.288757074623267,41251.12702221267,3.6687701530139183,4.564535356911884,0.77,59265024.0,5.635181952044044,1.1823796237452848,8.570858239177781,111156.0,41252.91382399701,4.962616822429907,41252.913823997005,10.080056812334568,120316.0,14.240319685152334,2.973529651827321,15.488933634678798,0.02,40291.6679582134,12.529781312660026,1291.0,40301.56668143658,2170880.0,,,,,,,,,,,,,,,,,,,,,
4020,95,16,5000,100000,1e-08,1.1745865883549928e-06,0,149,39,6314,1490089115,0,True,True,True,False,15.0,6.348706879263957,53244.55514631675,2.058359943798087,131.0,3.4128405130163966,0.8006902823958859,7.194598337950138,2.105759914957108,53244.555146316736,2.0583599437980866,2.105759914957108,0.91,64675840.0,3.412840513016397,0.800690282395886,6.348706879263957,264468.0,53244.92799927972,3.4473684210526314,53244.92799927972,1.1979689864167289,262284.0,17.31268994700767,0.5088969505088835,3.8626932467088455,0.02,52715.01871421335,5.749771540008053,121.0,52743.7672359734,2441216.0,7.327143369856257,1.89751,4638969856.0,107.41000000000001,,0.70847,5.552751408145273,3.02264,,,,,,,,,,,,,
4021,95,16,5000,100000,1e-08,1.1745865883549928e-06,0,149,39,6314,1490089115,0.01,False,True,True,False,67.0,4.099182993531593,53242.16785136156,1.4999993674252563,382.0,2.7537248763610047,0.4853434606253331,93.23996913580244,1.5247926323283216,53242.16785136153,1.4066505755737808,1.6184410704741368,1.05,65073152.0,2.6871541721717453,0.3692100238387544,4.324475152412541,273300.0,53242.72281807937,5.3055555555555545,53242.72281807937,1.1979689864167289,262284.0,17.31268994700767,0.5088969505088835,3.8626932467088455,0.01,52715.01871421335,5.749771540008053,121.0,52743.7672359734,2338816.0,,,,,,,,,,,,,,,,,,,,,
4022,95,16,5000,100000,1e-08,1.1745865883549928e-06,0,149,39,6314,1490089115,0.02,False,True,True,False,133.0,5.855350161201503,53243.11241694222,2.1555727049223017,682.0,4.1664927628549036,0.8225790511202109,202.9146671954524,2.2877203983731698,53243.112416942204,2.0649736314907403,2.3785333489620566,1.52,66035712.0,4.23328106621954,0.7487071476768656,6.067207671231103,284132.0,53244.00092705085,5.544715447154472,53244.00092705086,1.197968986416729,262284.0,17.31268994700767,0.5088969505088835,3.862693246708845,0.02,52715.01871421335,5.749771540008054,121.0,52743.7672359734,2441216.0,,,,,,,,,,,,,,,,,,,,,
4023,95,16,5000,100000,1e-08,1.1745865883549928e-06,EmpiricalErrorPlatinum1000G,149,39,6314,1490089115,0,True,True,True,True,394.0,11.07274537769734,53241.20045850772,6.045791728241345,3352.0,6.784857523516664,1.8997958003699504,401.08636704822675,5.797154703654341,53241.20045850772,5.488025728260562,6.387314339844744,2.13,75087872.0,6.818443274852874,1.451077107326069,12.54533658406512,380524.0,53241.71604057307,5.7397260273972615,53241.716040573076,12.558708304737834,409012.0,15.977349192533325,3.343663847354455,20.061967526424347,0.31,57877.824919632636,14.799007715233168,3906.0,58033.382193371726,2629632.0,9.73126532438037,7.38552,1114365952.0,37.72,,2.29905,13.277832886071485,8.07925,,14018.841922863667,2354.13,"0,20,40,60,80,100,120,140,160,180",1.9402259999999998,158617600.0,0.83077,4.991967939553296,12688.8,194.7,14096.810375169076,2.186918,3.016500043344109
4024,95,16,5000,100000,1e-08,1.1745865883549928e-06,EmpiricalErrorPlatinum1000G,149,39,6314,1490089115,0.01,False,True,True,False,498.0,11.804800504948313,53240.20095808439,6.560586412545463,3784.0,7.715828264104718,2.0500376052785647,555.0697780495143,6.332892229851191,53240.2009580844,5.953111887184101,6.952756344125531,2.24,75038720.0,7.551804985355235,1.351711244052844,12.744587268027232,395828.0,53240.96037705897,5.894080996884735,53240.960377058975,11.621768229035823,404324.0,15.451217353384626,3.3291178609465284,18.68471837416375,0.28,55705.04413719323,13.927410567560294,3796.0,55815.27895669363,2629632.0,,,,,,,,,,,,,,,,,,,,,
4025,95,16,5000,100000,1e-08,1.1745865883549928e-06,EmpiricalErrorPlatinum1000G,149,39,6314,1490089115,0.02,False,True,True,True,457.0,11.343240153599885,53240.310668643695,6.207183738616156,3541.0,6.915216290857277,2.0964759177479952,564.2817493380205,6.075093445409667,53240.3106686437,5.702355409973372,6.593240963916744,1.97,75014144.0,6.93212883192203,1.7205271072765491,12.410197901917574,386868.0,53241.199776750065,5.981418918918918,53241.19977675008,12.828795206983795,405740.0,16.278872781607472,3.367401037833316,18.66590562887466,0.29,56933.019207200734,15.191768116960947,3842.0,56958.21543658897,2686976.0,,,,,,,,,,14037.304032373428,2397.2999999999997,"0,20,40,60,80,100,120,140,160,180",2.553376,152084480.0,1.162444,6.187081159984297,12932.0,200.9,14116.768644361344,2.82241,3.826230650534062
4026,95,16,5000,100000,1e-08,3.5000000000000016e-06,0,193,47,19725,795904547,0,True,True,True,False,27.0,1.6462903132327913,56556.343762217155,0.491210975777124,333.0,1.08730797361545,0.22455764875470613,13.259995835068722,0.5097746650152456,56556.343762217155,0.4907411204334767,0.5117336273881402,1.98,82681856.0,1.0682740555695718,0.22416071538054969,1.646601093330658,808804.0,56556.37506189223,3.3979591836734686,56556.37506189223,0.3322808737873309,803572.0,12.777926451734071,0.14482120534135612,1.0962986104720875,0.09,55476.06406633543,3.4190056126211164,244.0,55494.333268379705,4161536.0,5.991128117909291,0.34584,9334452224.0,284.14,,0.123105,0.8916392942912839,1.63376,,,,,,,,,,,,,
4027,95,16,5000,100000,1e-08,3.5000000000000016e-06,0,193,47,19725,795904547,0.01,True,True,True,False,285.0,1.875973600184487,56555.684889163254,0.6002140149869117,1521.0,1.6121488766373286,0.2613907581788671,320.58762127133565,0.6936232202657696,56555.684889163254,0.57794435048852,0.7195962130779059,2.83,91422720.0,1.6819236966490694,0.2099437783877926,2.069997422323636,851268.0,56555.970825239776,5.374558303886926,56555.970825239754,0.3322808737873309,803572.0,12.777926451734071,0.14482120534135612,1.0962986104720875,0.09,55476.06406633543,3.4190056126211164,244.0,55494.333268379705,4145152.0,6.008098663558496,0.35504,9302044672.0,270.58,,0.12792,0.923026484917429,1.64261,,,,,,,,,,,,,
