Unnamed: 0,Unnamed: 0.1,replicate,sample_size,Ne,length,recombination_rate,mutation_rate,error_param,edges,n_trees,n_sites,seed,ts_filesize,vcf_filesize,vcfgz_filesize,tsinfer_completed,tsinfer_cputime,tsinfer_var_polytomy,tsinfer_edges,tsinfer_memory,tsinfer_max_polytomy,tsinfer_mean_polytomy,tsinfer_ts_filesize,internal_nodes,internal_nodes_with_mutations
34,34,0,50000,5000,40000000,5e-09,1e-08,0,265773,43656,92034,1294647786,15157980,9206282239,256917277,True,46608.21,608.62641815352,239367.0,5221199872.0,5393.0,4.922208513263418,14514388.0,81312,25140
35,35,0,50000,5000,45000000,5e-09,1e-08,0,285911,48906,103324,906262299,16317604,10335610323,282423556,True,55409.78,700.4524797010935,263619.0,5998895104.0,6116.0,4.8668722076579405,15874908.0,84903,27867
36,36,0,50000,5000,50000000,5e-09,1e-08,0,303386,53502,113899,960426798,17356652,11393417182,315832580,True,60765.51,728.5815156564844,286116.0,6762274816.0,6527.0,4.83026640105345,17139428.0,88154,29978
37,37,0,50000,5000,55000000,5e-09,1e-08,0,327593,59786,126520,1489521078,18705140,12655882259,353837468,True,76140.16,866.7495478178051,313088.0,7654236160.0,7476.0,4.8060911212084,18649204.0,92081,32639
38,38,0,50000,5000,60000000,5e-09,1e-08,0,343347,64008,135610,1573457715,19624780,13565146570,369170323,True,85911.87,904.0387582807457,332461.0,8376459264.0,7887.0,4.785470614483326,19736676.0,95001,34669
39,39,0,50000,5000,65000000,5e-09,1e-08,0,364267,69601,148930,745819123,20888284,14897533027,410176941,True,103989.14,1013.3753536165218,357830.0,9375227904.0,8707.0,4.743679821828644,21224308.0,98664,37335
40,40,0,50000,5000,70000000,5e-09,1e-08,0,387272,75517,160996,621137568,22180980,16104481938,441281667,True,114445.63,1173.2823862557366,387068.0,10265665536.0,9727.0,4.766201622932853,22781228.0,102749,39707
41,41,0,50000,5000,75000000,5e-09,1e-08,0,405692,80354,170325,1917583319,23203652,17037653500,463206256,True,126243.8,1146.7030735830301,407321.0,11097276416.0,9879.0,4.7520941736472455,23910564.0,106030,41874
42,42,0,50000,5000,80000000,5e-09,1e-08,0,427745,86094,182286,171685554,24450508,18234100640,495791573,True,140233.19999999998,1247.378668680722,434443.0,11993636864.0,10628.0,4.7663470399789345,25387324.0,109639,44067
43,43,0,50000,5000,85000000,5e-09,1e-08,0,444258,90582,192700,1809123449,25453236,19275802122,527869278,True,149762.25,1282.0455020804668,455647.0,12846702592.0,11051.0,4.7531555778097685,26595548.0,112914,46123
44,44,0,50000,5000,90000000,5e-09,1e-08,0,467292,96674,204912,1429992420,26743652,20497355642,570201933,True,166696.77,1426.81364476187,481796.0,13908058112.0,12012.0,4.738122633623445,28060532.0,116634,48594
45,45,0,50000,5000,95000000,5e-09,1e-08,0,485966,101447,216021,1313836049,27841252,21608578285,593064256,True,180335.12,1479.4812335332306,508056.0,14896713728.0,12545.0,4.750628827902193,29471460.0,119879,50583
46,46,0,50000,5000,100000000,5e-09,1e-08,0,507202,107098,227195,1698419317,29038252,22726302553,625007349,True,197358.46,1545.8213500589663,531885.0,15757291520.0,13129.0,4.745668195363944,30804148.0,123747,52782
