,EAS,EUR,AFR,AMR,SAS,left,right
66500,0.0,0.0,0.96875,0.03125,0.0,6869767.0,6869851.0
66505,0.0,0.0,0.9696969696969697,0.030303030303030304,0.0,6870342.0,6870529.0
66559,0.0,0.0,0.9705882352941176,0.029411764705882353,0.0,6876435.0,6876804.0
66586,0.0,0.0,0.972972972972973,0.02702702702702703,0.0,6880020.0,6880024.0
66596,0.0,0.0,0.9705882352941176,0.029411764705882353,0.0,6880658.0,6880679.0
66619,0.0,0.0,0.9743589743589743,0.02564102564102564,0.0,6882180.0,6882409.0
66626,0.0,0.0,1.0,0.0,0.0,6883101.0,6883215.0
66688,0.0,0.0,0.875,0.125,0.0,6888352.0,6888548.0
67183,0.0,0.0,0.8571428571428571,0.14285714285714285,0.0,6935571.0,6935830.0
67195,0.0,0.0,0.8333333333333333,0.16666666666666666,0.0,6936394.0,6936476.0
67479,0.0,0.0,0.8,0.2,0.0,6965136.0,6965147.0
67526,0.0,0.0,1.0,0.0,0.0,6967348.0,6967368.0
68844,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,7093483.0,7093599.0
68865,0.0,0.0,1.0,0.0,0.0,7094725.0,7094727.0
68869,0.007246376811594203,0.014492753623188406,0.6304347826086957,0.036231884057971016,0.3115942028985507,7094736.0,7094788.0
68870,0.007434944237918215,0.01486988847583643,0.620817843866171,0.03717472118959107,0.31970260223048325,7094788.0,7094807.0
68872,0.007462686567164179,0.014925373134328358,0.6194029850746269,0.03731343283582089,0.3208955223880597,7094888.0,7094889.0
68877,0.00749063670411985,0.0149812734082397,0.6142322097378278,0.04119850187265918,0.32209737827715357,7095091.0,7095150.0
68882,0.011152416356877323,0.01486988847583643,0.6096654275092936,0.040892193308550186,0.32342007434944237,7096111.0,7096163.0
68887,0.011111111111111112,0.014814814814814815,0.6074074074074074,0.040740740740740744,0.32592592592592595,7102936.0,7102986.0
68889,0.014760147601476014,0.014760147601476014,0.6051660516605166,0.04059040590405904,0.3247232472324723,7103060.0,7103197.0
68890,0.011111111111111112,0.014814814814814815,0.6074074074074074,0.040740740740740744,0.32592592592592595,7103197.0,7103314.0
68895,0.00784313725490196,0.01568627450980392,0.6039215686274509,0.027450980392156862,0.34509803921568627,7103744.0,7103881.0
68901,0.007782101167315175,0.01556420233463035,0.6070038910505837,0.027237354085603113,0.3424124513618677,7104665.0,7104688.0
68921,0.007751937984496124,0.015503875968992248,0.6046511627906976,0.031007751937984496,0.34108527131782945,7107333.0,7107425.0
68924,0.007692307692307693,0.015384615384615385,0.6076923076923078,0.03076923076923077,0.3384615384615385,7107577.0,7107815.0
68929,0.007662835249042145,0.01532567049808429,0.6091954022988505,0.03065134099616858,0.33716475095785436,7108179.0,7108194.0
68941,0.00784313725490196,0.01568627450980392,0.6,0.03137254901960784,0.34509803921568627,7109420.0,7109435.0
68950,0.007782101167315175,0.01556420233463035,0.5953307392996109,0.038910505836575876,0.3424124513618677,7110301.0,7110423.0
