,Ne,length,sample_size,recombination_rate,mutation_rate,tool,vcf_compression_factor_mean,vcf_compression_factor_se
49,5000,50000000,40000,1e-08,1e-08,tsinfer,12.351936666169347,0.04583348367906783
50,5000,50000000,40000,2e-08,1e-08,tsinfer,9.521513749256547,0.04089155086388679
51,5000,50000000,45000,5e-09,1e-08,tsinfer,17.038935400268752,0.10978024790575114
52,5000,50000000,45000,1e-08,1e-08,tsinfer,13.443978929777316,0.18723999313748863
53,5000,50000000,45000,2e-08,1e-08,tsinfer,10.517615519026853,0.057502142123381846
54,5000,50000000,50000,5e-09,1e-08,tsinfer,18.25958286748019,0.057668584584576923
55,5000,50000000,50000,1e-08,1e-08,tsinfer,14.643488262100595,0.05052098160510479
56,5000,50000000,50000,2e-08,1e-08,tsinfer,11.25236638729719,0.03280978479848896
57,5000,50000000,55000,5e-09,1e-08,tsinfer,19.847522627858936,0.11650461011803484
58,5000,50000000,55000,1e-08,1e-08,tsinfer,15.644643614905485,0.11426362973960505
59,5000,50000000,55000,2e-08,1e-08,tsinfer,12.145990181264708,0.10315135316008162
60,5000,50000000,60000,5e-09,1e-08,tsinfer,20.712756060931635,0.07566582978909221
61,5000,50000000,60000,1e-08,1e-08,tsinfer,16.80186155861407,0.037662692738410684
62,5000,50000000,60000,2e-08,1e-08,tsinfer,13.014443254608532,0.04501200508760453
63,5000,50000000,65000,5e-09,1e-08,tsinfer,21.86164724335299,0.10091119254535258
64,5000,50000000,65000,1e-08,1e-08,tsinfer,17.671765450009747,
65,5000,50000000,65000,2e-08,1e-08,tsinfer,13.717168859953043,0.10606656654332978
66,5000,50000000,70000,5e-09,1e-08,tsinfer,23.063227747688117,0.13085878421946376
67,5000,50000000,70000,1e-08,1e-08,tsinfer,18.427078767038765,0.018866286106671737
68,5000,50000000,70000,2e-08,1e-08,tsinfer,14.441041987799132,0.0580530953915086
69,5000,50000000,75000,5e-09,1e-08,tsinfer,24.301612830819778,0.07996719621386249
