,Ne,length,sample_size,recombination_rate,mutation_rate,error_param,tool,averaging,polytomies,rooting,metric,treedist_mean,treedist_se
226,5000,100000,200,1e-08,3.941867581552624e-07,0,tsinfer,per site,broken,unrooted,path,225.31454042723254,5.170772633256667
228,5000,100000,200,1e-08,3.941867581552624e-07,0,tsinfer,per site,retained,rooted,KC,76.6937505231824,3.299465603242599
232,5000,100000,200,1e-08,3.941867581552624e-07,0,tsinfer,per site,retained,unrooted,path,307.63896695273536,9.990856203696046
234,5000,100000,200,1e-08,3.941867581552624e-07,EmpiricalErrorPlatinum1000G,argentum,per site,broken,rooted,KC,262.48633686062965,3.4348965643651392
235,5000,100000,200,1e-08,3.941867581552624e-07,EmpiricalErrorPlatinum1000G,argentum,per site,broken,rooted,RF,289.7710265205306,3.224181481422009
237,5000,100000,200,1e-08,3.941867581552624e-07,EmpiricalErrorPlatinum1000G,argentum,per site,broken,unrooted,RF,288.48666976026095,3.2138923581548875
238,5000,100000,200,1e-08,3.941867581552624e-07,EmpiricalErrorPlatinum1000G,argentum,per site,broken,unrooted,SPR,66.83820608101203,0.7507577268751663
239,5000,100000,200,1e-08,3.941867581552624e-07,EmpiricalErrorPlatinum1000G,argentum,per site,broken,unrooted,path,691.2431018525922,10.715255182658579
241,5000,100000,200,1e-08,3.941867581552624e-07,EmpiricalErrorPlatinum1000G,argentum,per site,retained,rooted,KC,211.40726653333084,3.050155496428528
245,5000,100000,200,1e-08,3.941867581552624e-07,EmpiricalErrorPlatinum1000G,argentum,per site,retained,unrooted,path,553.6130800396517,5.837038949672292
247,5000,100000,200,1e-08,3.941867581552624e-07,EmpiricalErrorPlatinum1000G,tsinfer,per site,broken,rooted,KC,222.3276323552582,6.11795398356447
248,5000,100000,200,1e-08,3.941867581552624e-07,EmpiricalErrorPlatinum1000G,tsinfer,per site,broken,rooted,RF,230.8025560554946,4.4137719961081165
250,5000,100000,200,1e-08,3.941867581552624e-07,EmpiricalErrorPlatinum1000G,tsinfer,per site,broken,unrooted,RF,229.58178761829348,4.40358553337237
251,5000,100000,200,1e-08,3.941867581552624e-07,EmpiricalErrorPlatinum1000G,tsinfer,per site,broken,unrooted,SPR,55.4419577632249,0.8340801043095089
252,5000,100000,200,1e-08,3.941867581552624e-07,EmpiricalErrorPlatinum1000G,tsinfer,per site,broken,unrooted,path,593.0197967285216,18.55474789747263
254,5000,100000,200,1e-08,3.941867581552624e-07,EmpiricalErrorPlatinum1000G,tsinfer,per site,retained,rooted,KC,162.3992147143733,4.501202982231275
258,5000,100000,200,1e-08,3.941867581552624e-07,EmpiricalErrorPlatinum1000G,tsinfer,per site,retained,unrooted,path,451.38490115577315,8.076538197064556
260,5000,100000,200,1e-08,1.1745865883549928e-06,0,argentum,per site,broken,rooted,KC,47.719516286022994,2.16291889202746
261,5000,100000,200,1e-08,1.1745865883549928e-06,0,argentum,per site,broken,rooted,RF,31.66397083130094,1.1657708044495745
263,5000,100000,200,1e-08,1.1745865883549928e-06,0,argentum,per site,broken,unrooted,RF,31.563150282282496,1.1674334043424899
264,5000,100000,200,1e-08,1.1745865883549928e-06,0,argentum,per site,broken,unrooted,SPR,11.864442630323161,0.43779613685805174
265,5000,100000,200,1e-08,1.1745865883549928e-06,0,argentum,per site,broken,unrooted,path,142.85343103714007,4.108652861855663
267,5000,100000,200,1e-08,1.1745865883549928e-06,0,argentum,per site,retained,rooted,KC,47.698350874359555,2.1874896515208064
271,5000,100000,200,1e-08,1.1745865883549928e-06,0,argentum,per site,retained,unrooted,path,170.12120403634452,5.112956235126698
273,5000,100000,200,1e-08,1.1745865883549928e-06,0,tsinfer,per site,broken,rooted,KC,42.42544741582396,2.012429464235741
274,5000,100000,200,1e-08,1.1745865883549928e-06,0,tsinfer,per site,broken,rooted,RF,30.63012862640928,1.0470544221407683
276,5000,100000,200,1e-08,1.1745865883549928e-06,0,tsinfer,per site,broken,unrooted,RF,30.51389715366468,1.048882270995116
277,5000,100000,200,1e-08,1.1745865883549928e-06,0,tsinfer,per site,broken,unrooted,SPR,12.008765999542943,0.3878321578422922
278,5000,100000,200,1e-08,1.1745865883549928e-06,0,tsinfer,per site,broken,unrooted,path,134.93715669825926,3.5616248620039195
280,5000,100000,200,1e-08,1.1745865883549928e-06,0,tsinfer,per site,retained,rooted,KC,42.8348001270752,2.0489165132379568
284,5000,100000,200,1e-08,1.1745865883549928e-06,0,tsinfer,per site,retained,unrooted,path,162.6394991489968,4.592942236871164
286,5000,100000,200,1e-08,1.1745865883549928e-06,EmpiricalErrorPlatinum1000G,argentum,per site,broken,rooted,KC,243.53474246000587,4.72086750437355
287,5000,100000,200,1e-08,1.1745865883549928e-06,EmpiricalErrorPlatinum1000G,argentum,per site,broken,rooted,RF,283.6370247356303,3.336319111286323
289,5000,100000,200,1e-08,1.1745865883549928e-06,EmpiricalErrorPlatinum1000G,argentum,per site,broken,unrooted,RF,282.4681185984402,3.2958785346714397
290,5000,100000,200,1e-08,1.1745865883549928e-06,EmpiricalErrorPlatinum1000G,argentum,per site,broken,unrooted,SPR,65.78806728732448,0.7988081208729102
291,5000,100000,200,1e-08,1.1745865883549928e-06,EmpiricalErrorPlatinum1000G,argentum,per site,broken,unrooted,path,672.6472294741926,15.48209570750683
293,5000,100000,200,1e-08,1.1745865883549928e-06,EmpiricalErrorPlatinum1000G,argentum,per site,retained,rooted,KC,198.39247862726867,3.101227695925168
297,5000,100000,200,1e-08,1.1745865883549928e-06,EmpiricalErrorPlatinum1000G,argentum,per site,retained,unrooted,path,531.3704870233773,5.606518908779657
299,5000,100000,200,1e-08,1.1745865883549928e-06,EmpiricalErrorPlatinum1000G,tsinfer,per site,broken,rooted,KC,221.23694423316113,5.335832796221477
300,5000,100000,200,1e-08,1.1745865883549928e-06,EmpiricalErrorPlatinum1000G,tsinfer,per site,broken,rooted,RF,227.28130490132608,3.237756005167072
302,5000,100000,200,1e-08,1.1745865883549928e-06,EmpiricalErrorPlatinum1000G,tsinfer,per site,broken,unrooted,RF,226.008257469119,3.2298136079305815
303,5000,100000,200,1e-08,1.1745865883549928e-06,EmpiricalErrorPlatinum1000G,tsinfer,per site,broken,unrooted,SPR,54.75975846346093,0.675391258203083
304,5000,100000,200,1e-08,1.1745865883549928e-06,EmpiricalErrorPlatinum1000G,tsinfer,per site,broken,unrooted,path,615.0310981121753,14.506448413747977
306,5000,100000,200,1e-08,1.1745865883549928e-06,EmpiricalErrorPlatinum1000G,tsinfer,per site,retained,rooted,KC,159.61721983188545,3.7637970546839945
310,5000,100000,200,1e-08,1.1745865883549928e-06,EmpiricalErrorPlatinum1000G,tsinfer,per site,retained,unrooted,path,436.0973672343652,7.095683791086398
312,5000,100000,200,1e-08,3.5000000000000016e-06,0,argentum,per site,broken,rooted,KC,25.342661457465884,1.2753342335618294
313,5000,100000,200,1e-08,3.5000000000000016e-06,0,argentum,per site,broken,rooted,RF,13.278897421822789,0.7739384539889695
315,5000,100000,200,1e-08,3.5000000000000016e-06,0,argentum,per site,broken,unrooted,RF,13.238130312365872,0.7756744536479829
316,5000,100000,200,1e-08,3.5000000000000016e-06,0,argentum,per site,broken,unrooted,SPR,5.65105854069765,0.353307716963713
317,5000,100000,200,1e-08,3.5000000000000016e-06,0,argentum,per site,broken,unrooted,path,88.5794909335239,2.655087024783212
319,5000,100000,200,1e-08,3.5000000000000016e-06,0,argentum,per site,retained,rooted,KC,25.397314264282546,1.3126551502354702
323,5000,100000,200,1e-08,3.5000000000000016e-06,0,argentum,per site,retained,unrooted,path,100.25253474800289,3.608384563294146
325,5000,100000,200,1e-08,3.5000000000000016e-06,0,tsinfer,per site,broken,rooted,KC,24.8551583283369,1.3794805982058433
326,5000,100000,200,1e-08,3.5000000000000016e-06,0,tsinfer,per site,broken,rooted,RF,14.333464539246686,0.7130939017708278
328,5000,100000,200,1e-08,3.5000000000000016e-06,0,tsinfer,per site,broken,unrooted,RF,14.289116963577422,0.7114086363251088
329,5000,100000,200,1e-08,3.5000000000000016e-06,0,tsinfer,per site,broken,unrooted,SPR,6.337139204727368,0.31727509779241386
330,5000,100000,200,1e-08,3.5000000000000016e-06,0,tsinfer,per site,broken,unrooted,path,91.46874320680274,2.677735959275257
332,5000,100000,200,1e-08,3.5000000000000016e-06,0,tsinfer,per site,retained,rooted,KC,25.44611706700421,1.467563910825824
336,5000,100000,200,1e-08,3.5000000000000016e-06,0,tsinfer,per site,retained,unrooted,path,107.04766469536794,4.044851305236822
338,5000,100000,200,1e-08,3.5000000000000016e-06,EmpiricalErrorPlatinum1000G,argentum,per site,broken,rooted,KC,239.2689415064373,4.698705879719814
339,5000,100000,200,1e-08,3.5000000000000016e-06,EmpiricalErrorPlatinum1000G,argentum,per site,broken,rooted,RF,272.82510398190504,3.34814051562118
341,5000,100000,200,1e-08,3.5000000000000016e-06,EmpiricalErrorPlatinum1000G,argentum,per site,broken,unrooted,RF,271.66973865746746,3.3222210378445944
342,5000,100000,200,1e-08,3.5000000000000016e-06,EmpiricalErrorPlatinum1000G,argentum,per site,broken,unrooted,SPR,63.916198971084754,0.7197753492903964
343,5000,100000,200,1e-08,3.5000000000000016e-06,EmpiricalErrorPlatinum1000G,argentum,per site,broken,unrooted,path,633.7005130687268,13.194309253784981
345,5000,100000,200,1e-08,3.5000000000000016e-06,EmpiricalErrorPlatinum1000G,argentum,per site,retained,rooted,KC,193.12363829564129,4.361122534484372
349,5000,100000,200,1e-08,3.5000000000000016e-06,EmpiricalErrorPlatinum1000G,argentum,per site,retained,unrooted,path,504.17942445367635,7.929592037232684
351,5000,100000,200,1e-08,3.5000000000000016e-06,EmpiricalErrorPlatinum1000G,tsinfer,per site,broken,rooted,KC,200.43348194260142,9.526248181582773
352,5000,100000,200,1e-08,3.5000000000000016e-06,EmpiricalErrorPlatinum1000G,tsinfer,per site,broken,rooted,RF,217.7998627788139,4.8581334095561965
354,5000,100000,200,1e-08,3.5000000000000016e-06,EmpiricalErrorPlatinum1000G,tsinfer,per site,broken,unrooted,RF,216.55443095869578,4.832014202991972
355,5000,100000,200,1e-08,3.5000000000000016e-06,EmpiricalErrorPlatinum1000G,tsinfer,per site,broken,unrooted,SPR,52.86527398038018,0.8898189788161596
356,5000,100000,200,1e-08,3.5000000000000016e-06,EmpiricalErrorPlatinum1000G,tsinfer,per site,broken,unrooted,path,562.5798583872927,20.326777815404792
