"","freq","p00","p01","p02","p10","p11","p12","p20","p21","p22"
"4429",0.884385,0.363636363636364,0,0.636363636363636,0,0.986842105263158,0.0131578947368421,0,0,1
"4430",0.884585,0.727272727272727,0,0.272727272727273,0,1,0,0,0.00229885057471264,0.997701149425287
"4431",0.884784,0.814814814814815,0.037037037037037,0.148148148148148,0,0.98876404494382,0.0112359550561798,0,0,1
"4432",0.884984,0.857142857142857,0,0.142857142857143,0,1,0,0,0,1
"4433",0.885184,0.571428571428571,0.142857142857143,0.285714285714286,0,1,0,0,0,1
"4434",0.885383,0.583333333333333,0.25,0.166666666666667,0,1,0,0,0.00259067357512953,0.99740932642487
"4435",0.885583,0.8,0.1,0.1,0,1,0,0,0,1
"4436",0.885783,0.5,0,0.5,0,0.96551724137931,0.0344827586206897,0,0,1
"4437",0.885982,0.875,0,0.125,0,0.988636363636364,0.0113636363636364,0,0,1
"4438",0.886182,0.875,0,0.125,0,1,0,0,0.00234741784037559,0.997652582159624
"4439",0.886382,0.823529411764706,0,0.176470588235294,0,1,0,0,0,1
"4440",0.886581,0.444444444444444,0.111111111111111,0.444444444444444,0,1,0,0,0,1
"4441",0.886781,0.5,0.3,0.2,0,0.99236641221374,0.00763358778625954,0,0,1
"4442",0.886981,0.416666666666667,0.166666666666667,0.416666666666667,0,1,0,0,0,1
"4443",0.887181,0.733333333333333,0.0666666666666667,0.2,0,0.990291262135922,0.00970873786407767,0,0,1
"4444",0.88738,0.555555555555556,0,0.444444444444444,0,1,0,0,0,1
"4445",0.88758,0.583333333333333,0,0.416666666666667,0,0.988888888888889,0.0111111111111111,0,0,1
"4446",0.88778,0.444444444444444,0.111111111111111,0.444444444444444,0,1,0,0,0.00284900284900285,0.997150997150997
"4447",0.887979,0.666666666666667,0,0.333333333333333,0,1,0,0,0,1
"4448",0.888179,1,0,0,0,1,0,0,0,1
"4449",0.888379,0.625,0,0.375,0.0104166666666667,0.989583333333333,0,0,0,1
"4450",0.888578,0.692307692307692,0.0769230769230769,0.230769230769231,0,0.973333333333333,0.0266666666666667,0,0,1
"4451",0.888778,0.619047619047619,0,0.380952380952381,0,1,0,0,0.00242718446601942,0.997572815533981
"4452",0.888978,0.666666666666667,0,0.333333333333333,0,0.988095238095238,0.0119047619047619,0,0,1
"4453",0.889177,0,0,1,0,0.988636363636364,0.0113636363636364,0,0,1
"4454",0.889377,0.416666666666667,0,0.583333333333333,0.0125,0.9625,0.025,0,0.00245098039215686,0.997549019607843
"4455",0.889577,0.8125,0,0.1875,0,0.98936170212766,0.0106382978723404,0,0,1
"4456",0.889776,0.8,0,0.2,0,1,0,0,0,1
"4457",0.889976,0.583333333333333,0,0.416666666666667,0,0.981818181818182,0.0181818181818182,0,0,1
"4458",0.890176,1,0,0,0,1,0,0,0,1
"4459",0.890375,0.625,0,0.375,0,1,0,0.00245700245700246,0.00245700245700246,0.995085995085995
"4460",0.890575,0.666666666666667,0,0.333333333333333,0,0.96875,0.03125,0,0,1
"4461",0.890775,0.909090909090909,0,0.0909090909090909,0,0.98876404494382,0.0112359550561798,0,0,1
"4462",0.890974,0.692307692307692,0.0769230769230769,0.230769230769231,0,0.988235294117647,0.0117647058823529,0,0,1
"4463",0.891174,0.166666666666667,0,0.833333333333333,0,1,0,0,0,1
"4464",0.891374,0.285714285714286,0,0.714285714285714,0,1,0,0,0,1
"4465",0.891573,0.6,0.1,0.3,0,1,0,0,0,1
"4466",0.891773,0.684210526315789,0,0.315789473684211,0,0.987951807228916,0.0120481927710843,0,0,1
"4467",0.891973,0.615384615384615,0,0.384615384615385,0,0.977777777777778,0.0222222222222222,0,0,1
"4468",0.892173,0.583333333333333,0,0.416666666666667,0,0.987179487179487,0.0128205128205128,0,0,1
"4469",0.892372,0.857142857142857,0.142857142857143,0,0,0.987951807228916,0.0120481927710843,0,0,1
"4470",0.892572,0.8,0,0.2,0,0.986666666666667,0.0133333333333333,0,0,1
