,Ne,length,sample_size,recombination_rate,mutation_rate,tool,edge_ratio_mean,edge_ratio_se
23,5000,40000000,50000,2e-08,1e-08,tsinfer,0.7507315608506743,0.0007394216881349328
24,5000,45000000,50000,5e-09,1e-08,tsinfer,1.1439548010718676,0.0008720397929757245
25,5000,45000000,50000,1e-08,1e-08,tsinfer,0.9407202300598012,0.0009122956623959849
26,5000,45000000,50000,2e-08,1e-08,tsinfer,0.7464788194140294,0.0005728013908844191
27,5000,50000000,5000,5e-09,1e-08,tsinfer,1.2082481004139514,0.0017952669804845863
28,5000,50000000,5000,1e-08,1e-08,tsinfer,0.8759895553963677,0.0010500463285556308
29,5000,50000000,5000,2e-08,1e-08,tsinfer,0.6397071438677215,0.0006400206004149431
30,5000,50000000,10000,5e-09,1e-08,tsinfer,1.2223681941952071,0.0015692850881698262
31,5000,50000000,10000,1e-08,1e-08,tsinfer,0.9020388349784462,0.0006833742595058848
32,5000,50000000,10000,2e-08,1e-08,tsinfer,0.6668536778548022,0.00030533747245656474
33,5000,50000000,15000,5e-09,1e-08,tsinfer,1.2219498247842642,0.001447155204261295
34,5000,50000000,15000,1e-08,1e-08,tsinfer,0.9179945460295034,0.0010929441405691848
35,5000,50000000,15000,2e-08,1e-08,tsinfer,0.6846916252759206,0.0005974808988734792
36,5000,50000000,20000,5e-09,1e-08,tsinfer,1.2132963270517985,0.0013285333825646876
37,5000,50000000,20000,1e-08,1e-08,tsinfer,0.9254569447154088,0.000874936243587831
38,5000,50000000,20000,2e-08,1e-08,tsinfer,0.6950375489231069,0.0005353305968662158
39,5000,50000000,25000,5e-09,1e-08,tsinfer,1.208549757605685,0.001976255572483644
40,5000,50000000,25000,1e-08,1e-08,tsinfer,0.9299099094831325,0.0010589404650510554
41,5000,50000000,25000,2e-08,1e-08,tsinfer,0.7063476972786884,0.0003088391370470689
42,5000,50000000,30000,5e-09,1e-08,tsinfer,1.1978075324492212,0.0013568658540944183
43,5000,50000000,30000,1e-08,1e-08,tsinfer,0.934025659837077,0.0008897071816140664
44,5000,50000000,30000,2e-08,1e-08,tsinfer,0.7152522669859673,0.00040815219804963225
45,5000,50000000,35000,5e-09,1e-08,tsinfer,1.1883628048300352,0.0010406451402527783
46,5000,50000000,35000,1e-08,1e-08,tsinfer,0.9369767517007075,0.000875403650593749
47,5000,50000000,35000,2e-08,1e-08,tsinfer,0.7230074200418035,0.0008891011970554846
48,5000,50000000,40000,5e-09,1e-08,tsinfer,1.1801265971399262,0.0015094941845872083
49,5000,50000000,40000,1e-08,1e-08,tsinfer,0.9405721643336558,0.0010548009598218314
50,5000,50000000,40000,2e-08,1e-08,tsinfer,0.7296488967094261,0.0005309960293017671
51,5000,50000000,45000,5e-09,1e-08,tsinfer,1.167343979893178,0.001427275042473458
52,5000,50000000,45000,1e-08,1e-08,tsinfer,0.9421222515768954,0.0007705736820609467
53,5000,50000000,45000,2e-08,1e-08,tsinfer,0.7371569543606273,0.0006338747243314909
54,5000,50000000,50000,5e-09,1e-08,tsinfer,1.161004470333202,0.0014517537567958817
55,5000,50000000,50000,1e-08,1e-08,tsinfer,0.9443597517925644,0.0010397784784523716
56,5000,50000000,50000,2e-08,1e-08,tsinfer,0.7420387587304463,0.0008536326859292345
57,5000,50000000,55000,5e-09,1e-08,tsinfer,1.1521768424182097,0.001281770301745402
58,5000,50000000,55000,1e-08,1e-08,tsinfer,0.9455145648577219,0.001181487291197159
59,5000,50000000,55000,2e-08,1e-08,tsinfer,0.749166112592751,0.0006575679942760269
60,5000,50000000,60000,5e-09,1e-08,tsinfer,1.1435845942017746,0.000892609222099516
