centre,CHB,JPT,CHS,CDX,KHV,CEU,TSI,FIN,GBR,IBS,YRI,LWK,GWD,MSL,ESN,ASW,ACB,MXL,PUR,CLM,PEL,GIH,PJL,BEB,STU,ITU
Liverpool,0.00951599992836404,0.009055161149486833,0.009861095667887319,0.007978613390980691,0.009557190774441685,0.1294733814951088,0.09237372218978286,0.10736217843227801,0.11971727858073174,0.11004703521179413,0.0031815576311739666,0.0043099279730448884,0.005020392898206269,0.0026758469204274807,0.002897305086183218,0.012967433022992119,0.015691412019965444,0.03140621785783582,0.07031122088260883,0.06298518252259598,0.024582482462062263,0.03587546636080471,0.038873232555076936,0.026235569337268384,0.028484737183676206,0.02956035846522122
Manchester,0.009551189167982728,0.009162180129334794,0.009905548184725945,0.008024612573008872,0.009613173596042768,0.12941732051493823,0.09253243395099528,0.1080433341361505,0.11881972183710036,0.10933810229950303,0.0032356412759616867,0.00442882516964026,0.005124330253678456,0.0027098440910552778,0.0029259463896082905,0.012856637801483129,0.015724774290922644,0.031307322300363434,0.07022902306808236,0.06259444622319975,0.024537821309347927,0.03595908658808681,0.03898454695188313,0.026369277233077717,0.02878677875315963,0.029818081910667038
Middlesborough,0.0094614172658538,0.009017052777344537,0.009774830108909456,0.00791307339479736,0.009500277648330816,0.13013917652375342,0.09217617278784777,0.10888090222059807,0.11944348256228092,0.10967403981913686,0.003156571615002852,0.004310297391605558,0.0050066684168476394,0.0026452802066936325,0.0028567423530026373,0.012974126026087274,0.015656137497150908,0.031242784606106765,0.07035221754234697,0.06262020026920355,0.02448689396290813,0.03577062456862352,0.03877568447058069,0.02615294467524212,0.028484839618434295,0.029527561671307868
Newcastle,0.009429020656442773,0.009010308741534023,0.009750828193244012,0.007916215559223436,0.009491401672278273,0.1300058812737114,0.0922403080625414,0.10860287552813927,0.11979656031546086,0.10972833445927042,0.0031352067742458647,0.004284599303549627,0.004974756364752183,0.0026338627337719202,0.0028427058269617036,0.012950549975257247,0.015640385300782312,0.03127946924283951,0.07022669635318111,0.06268375926563137,0.024536140802444022,0.035792047093188305,0.03881362859152857,0.026153815241016714,0.028497172812375335,0.029583469856626722
Nottingham,0.009507724067643874,0.009096682218880303,0.009837248968308251,0.007972588505933114,0.0095843729469711,0.12994576730843208,0.09246936096893921,0.10978610783319377,0.11868800422272825,0.1092796731803087,0.0032050315377641875,0.004360861738631352,0.005060692457065559,0.002699036469216789,0.0029062560861931003,0.012893008406375034,0.01579326592237811,0.03110021291193207,0.07013572251869904,0.06238913778606789,0.02447721656841505,0.035711466468962276,0.038700171091836606,0.026196967969784563,0.02857470452426326,0.02962871732107489
Oxford,0.009557498228143174,0.00912913024427831,0.009898184385454117,0.007992131632621668,0.009636137881459126,0.12914091593386148,0.0924983478385042,0.10882238581010588,0.11869510192779273,0.10954354467628723,0.0032144683328959515,0.0044187728290674645,0.005121675416246618,0.0027130803169160955,0.002924636498454953,0.012884761154674875,0.015724824143280483,0.03121657564207445,0.07034406925550046,0.06257459472204134,0.024509582125075622,0.03586881725985343,0.03884761737885285,0.02630181350002606,0.0286931763634885,0.029728156503041607
Reading,0.00956108960051596,0.009145958734235153,0.009923433639232834,0.00803998966722687,0.009623461952748592,0.1291652427363306,0.09254974499792208,0.10874933289149444,0.11879470040738867,0.10953472683742596,0.0032226022924324214,0.004417135151580009,0.005117503969328789,0.0027189051168852512,0.002924673358501337,0.012930725179478658,0.015749359621914302,0.031185376167618472,0.07027681688481131,0.06237460935695293,0.024460777222390404,0.0358651211359016,0.038899046987881596,0.026295087469366322,0.028743893119620886,0.029730685500815087
Sheffield,0.009431884803366338,0.009072877165284977,0.009791473345711088,0.007965166969641203,0.009540526247708474,0.13062883827262597,0.09242763755537883,0.10968056281425331,0.1189730140684376,0.10924364060960107,0.003189521789847196,0.004330582441641556,0.00506054843371419,0.0026946127707319785,0.0028895671598365884,0.012984028654634288,0.01583969306745516,0.031060290198285198,0.07004319814022218,0.06229873149634184,0.024445134695842505,0.035626397027072314,0.038584951298967655,0.02611478670344334,0.02858638570349265,0.02949594856645846
Stockport (pilot),0.009460628155436543,0.00909410081274152,0.009806249217380198,0.007941611478215468,0.009603615315004943,0.12927763353640684,0.09175743125171305,0.10763248355774413,0.11780308994712053,0.10936078302536942,0.0031969560758318577,0.004497055086216247,0.005097633000233562,0.0026757429751307917,0.0028766801124030152,0.01265942900789077,0.015667947082608956,0.03156015814649227,0.07079430905937296,0.06266483661820332,0.0245918232113781,0.03660951334403444,0.03919811677169773,0.026693378578468534,0.029366555004423932,0.030112239628480576
Stoke,0.009457177027868486,0.009041852718029503,0.009819687002012004,0.007890593172343623,0.009533156979324772,0.13062731018072832,0.09211613292716384,0.10963027832563245,0.11935636653287683,0.10935687180441282,0.0031813715526292706,0.004341031503712229,0.0050154899496639245,0.0026916743359980426,0.002886817733634935,0.01299911626532266,0.015843473174221148,0.031202860196550188,0.06998661736137578,0.06233093344377916,0.02435266019358397,0.03570536252559329,0.03867389087384783,0.026130040217476714,0.028395401533311788,0.02943383246890611
Swansea,0.009541195458712093,0.008981814653936266,0.00986241843629065,0.008041365750142514,0.009641968235224398,0.128460738544506,0.09281145835737864,0.10591040827017129,0.11941441852513612,0.11069473392586993,0.0031327620848567756,0.004342258238141155,0.004987899995583739,0.002629684635217367,0.0028567705253740405,0.012814935860954774,0.015572393778836312,0.03151115801675829,0.07060232992213658,0.06344414179341858,0.024716656881716512,0.03611790094368572,0.03916894063958697,0.026404774023075468,0.028546041637328386,0.02979083086596256
Wrexham,0.00948285172605828,0.00909323960837659,0.00982654440964377,0.008077149947462748,0.0095958256762439,0.1285384785539115,0.09241361115291234,0.10741161314781175,0.11966709809180757,0.11063894867111146,0.0031009794169374995,0.004356611730639951,0.0049819714847315205,0.0026304242581327067,0.0028124479446604914,0.012801831751016034,0.01568081783298812,0.03134572397795704,0.07024873388893994,0.06249684034523031,0.024618268257369975,0.03671604924175384,0.0390374533760115,0.026258674866978506,0.028515020691629037,0.029652789949683202
