CentreName,Bristol,Newcastle,Birmingham,Liverpool,Sheffield,Leeds,Middlesborough,Nottingham,Glasgow,Oxford,Hounslow,Swansea,Stoke,Manchester,Bury,Croydon,Reading,Cardiff,Barts,Edinburgh,Stockport (pilot),Wrexham
Middlesborough,0.06640294008156701,0.10921615779434872,0.03721292053290996,0.05400508566908157,0.05300981869932367,0.09037422153940607,0.10751723840181013,0.05717538508660873,0.03423735819519216,0.023210043428171765,0.040512687761321296,0.00315257561507665,0.029805754530287446,0.02229606181594623,0.04657469957865709,0.03866421072467463,0.049312378170593224,0.026705340903751065,0.018022334070830204,0.0322283138823865,0.0008194042072631415,0.0009746857128612361
Newcastle,0.0621782248152511,0.18852719561079098,0.03375234935586006,0.0524702611429275,0.04653093852053766,0.07837315686093319,0.06238449452034854,0.0524482768312522,0.04138267993254699,0.0220889369305571,0.03960999473439213,0.002803098518122397,0.02677516691297136,0.021412091722140543,0.0433920850749555,0.03742110018362289,0.04707840871440046,0.023613160267900033,0.017524836649059582,0.04007470218806135,0.0007527571657539247,0.0008356997496819794
Nottingham,0.07471900312588926,0.058279706982547544,0.04536515358409519,0.05432840341262513,0.07225566776436158,0.08248407725979298,0.0366358512676568,0.13605448471932255,0.02506639748834391,0.025965017710245942,0.04286133542626778,0.003421665966970615,0.04003489744461189,0.024379561740645664,0.05059965418021197,0.0416417612446539,0.05309185114269316,0.02938350832178866,0.01843090249027713,0.024429792334194768,0.0008648874746248003,0.0011360353202461081
Oxford,0.09501622874623665,0.06079631594783785,0.04774310557127484,0.05545895996266294,0.05321498478008411,0.07699850330167955,0.03667097988169119,0.06406756598668506,0.028747164955477637,0.05075018587625992,0.052134399762102324,0.004541426802042456,0.03453682366508637,0.023593513594798093,0.0472449591669132,0.05071182639379981,0.06874082524362717,0.03824406782822546,0.022088866408804538,0.028174527756772184,0.000778846064008004,0.0011755387059967592
Reading,0.09656259045446774,0.06244303771123735,0.04577275711755299,0.0559526819138285,0.05309730908338306,0.07629009436156231,0.037335590337427935,0.06368563467345546,0.02989837995217804,0.03327402795790463,0.05458203620765494,0.004516961437844806,0.03388881666621766,0.023707534618214305,0.04724780622847053,0.05227049590455218,0.07866619670465683,0.038681853049697235,0.022278283749066766,0.029368051915204075,0.0007756724557648911,0.0011338039017248364
Sheffield,0.06875876130472808,0.05848382938659099,0.0422255621061713,0.05453359730449944,0.13259104969283683,0.09992272997342867,0.038049840009847576,0.0803746399255576,0.023792760840662844,0.023978727292871642,0.040134146365579534,0.003069079391780195,0.03814990230750839,0.025346820272438536,0.054193572801172124,0.038458776896772594,0.04964270951116437,0.026916889074971983,0.017430362422273343,0.023439456827432696,0.0008403272004021166,0.0010960754933742407
Stockport (pilot),0.07198976603093586,0.06463107736166139,0.04528840763295413,0.07056779040309896,0.060197436957874544,0.08607245409944685,0.04033408466091454,0.06653209197808216,0.03259969035111138,0.024009486387549437,0.04356207148797045,0.002951801279606864,0.04350529424719446,0.04128623995583424,0.07245004559710341,0.040241035667053726,0.051248275815545495,0.029717518730757345,0.021893134178524374,0.02830829791662478,0.002857336874596231,0.0011862787876254378
Stoke,0.0679255326711936,0.05062176393762063,0.050049605556805515,0.06403541662041945,0.05713014976694398,0.07217644421101599,0.03197785796543192,0.06746722340870784,0.022016028198625755,0.023189771487329376,0.03813647357197045,0.003324491146598347,0.15459680917801924,0.02803393716060557,0.05791191738457121,0.036380679751970346,0.047484666233487675,0.028459806197918623,0.016663557409589077,0.02135098601557857,0.0009229085877020983,0.0015735899399611202
Swansea,0.11178947177382895,0.05088181101367767,0.04622025366951789,0.0554975172928848,0.04528200440720346,0.06418388548436904,0.03294828565292114,0.05619307914208321,0.024212953360705433,0.02993821378369873,0.049713810046885104,0.0318007749100192,0.03207934609570202,0.021970161131937425,0.04223590968628696,0.04714241180447293,0.06178195213406754,0.09062348623726288,0.0205479792335807,0.024262608968091355,0.0006287612004111006,0.0014949393724595556
Wrexham,0.07733317957870144,0.05376591363303228,0.04825282184152022,0.09872788661259069,0.053218020458789386,0.0719987715273791,0.03353982592475119,0.06357981022303655,0.023713246384571264,0.026168134388133587,0.04350238135312282,0.004528334174416457,0.052308770827759754,0.03203199045360491,0.06586054884700024,0.04009013412834511,0.0527359442429655,0.04303781128904216,0.018420519936999037,0.023520690765263055,0.0008582503783692557,0.014236629432672262
