,Ne,length,sample_size,recombination_rate,mutation_rate,error_param,subsample_size,restrict_sample_size_comparison,tool,averaging,polytomies,rooting,metric,treedist_mean,treedist_se
155,5000,500000,1000,1e-08,1e-08,0,50,6,tsinfer,per variant,broken,rooted,RF,2.454821555179904,0.05991066758793538
157,5000,500000,1000,1e-08,1e-08,0,50,6,tsinfer,per variant,broken,unrooted,RF,1.6574909585356243,0.05325463396077298
158,5000,500000,1000,1e-08,1e-08,0,50,6,tsinfer,per variant,broken,unrooted,SPR,0.6234133030036034,0.01697787445694287
159,5000,500000,1000,1e-08,1e-08,0,50,6,tsinfer,per variant,broken,unrooted,path,2.0372289890287814,0.05684065181504146
161,5000,500000,1000,1e-08,1e-08,0,50,6,tsinfer,per variant,retained,rooted,KC,2.2156469241957844,0.04020844903349695
165,5000,500000,1000,1e-08,1e-08,0,50,6,tsinfer,per variant,retained,unrooted,SPR,0.5579089124547834,0.017734683141494893
166,5000,500000,1000,1e-08,1e-08,0,50,6,tsinfer,per variant,retained,unrooted,path,2.176629612979148,0.06033601354306665
168,5000,500000,1000,1e-08,1e-08,0,100,6,tsinfer,per variant,broken,rooted,KC,2.277506515785753,0.04049935528593673
169,5000,500000,1000,1e-08,1e-08,0,100,6,tsinfer,per variant,broken,rooted,RF,2.4765642919883692,0.05873372462097095
171,5000,500000,1000,1e-08,1e-08,0,100,6,tsinfer,per variant,broken,unrooted,RF,1.676227226175259,0.051986277024058225
172,5000,500000,1000,1e-08,1e-08,0,100,6,tsinfer,per variant,broken,unrooted,SPR,0.6307437084118018,0.016524147464157535
173,5000,500000,1000,1e-08,1e-08,0,100,6,tsinfer,per variant,broken,unrooted,path,2.0570803857426987,0.05519970837360958
175,5000,500000,1000,1e-08,1e-08,0,100,6,tsinfer,per variant,retained,rooted,KC,2.2232054783722517,0.038328017384673105
179,5000,500000,1000,1e-08,1e-08,0,100,6,tsinfer,per variant,retained,unrooted,SPR,0.5602518053080554,0.017637334957235372
180,5000,500000,1000,1e-08,1e-08,0,100,6,tsinfer,per variant,retained,unrooted,path,2.1901837951152463,0.05950323142398036
182,5000,500000,1000,1e-08,1e-08,0,500,6,tsinfer,per variant,broken,rooted,KC,2.234041368576687,0.04114456754281691
183,5000,500000,1000,1e-08,1e-08,0,500,6,tsinfer,per variant,broken,rooted,RF,2.4061509596467787,0.05771025924695715
185,5000,500000,1000,1e-08,1e-08,0,500,6,tsinfer,per variant,broken,unrooted,RF,1.621727671372898,0.050352419324708686
186,5000,500000,1000,1e-08,1e-08,0,500,6,tsinfer,per variant,broken,unrooted,SPR,0.6105566698929292,0.01572488196594675
187,5000,500000,1000,1e-08,1e-08,0,500,6,tsinfer,per variant,broken,unrooted,path,1.9966267863512537,0.05448253427085763
189,5000,500000,1000,1e-08,1e-08,0,500,6,tsinfer,per variant,retained,rooted,KC,2.1787532231539815,0.03941935956283642
193,5000,500000,1000,1e-08,1e-08,0,500,6,tsinfer,per variant,retained,unrooted,SPR,0.5374010665668728,0.017167229322596424
194,5000,500000,1000,1e-08,1e-08,0,500,6,tsinfer,per variant,retained,unrooted,path,2.141963621388703,0.05783290206244409
196,5000,500000,1000,1e-08,1e-08,0,1000,6,tsinfer,per variant,broken,rooted,KC,2.250990476619697,0.04146795895374251
197,5000,500000,1000,1e-08,1e-08,0,1000,6,tsinfer,per variant,broken,rooted,RF,2.4144486127635925,0.057195167293846584
199,5000,500000,1000,1e-08,1e-08,0,1000,6,tsinfer,per variant,broken,unrooted,RF,1.6276884167252237,0.050267644821754255
200,5000,500000,1000,1e-08,1e-08,0,1000,6,tsinfer,per variant,broken,unrooted,SPR,0.6170299690497951,0.016099873204206312
201,5000,500000,1000,1e-08,1e-08,0,1000,6,tsinfer,per variant,broken,unrooted,path,2.0121266250420806,0.05468501346172665
203,5000,500000,1000,1e-08,1e-08,0,1000,6,tsinfer,per variant,retained,rooted,KC,2.202207557954427,0.03977949037821453
207,5000,500000,1000,1e-08,1e-08,0,1000,6,tsinfer,per variant,retained,unrooted,SPR,0.5482050269638498,0.017498711711482397
208,5000,500000,1000,1e-08,1e-08,0,1000,6,tsinfer,per variant,retained,unrooted,path,2.177455040093214,0.059130589110878914
210,5000,500000,1000,1e-08,1e-08,EmpiricalErrorPlatinum1000G,12,6,tsinfer,per variant,broken,rooted,KC,2.4610270772566385,0.04071416734011986
211,5000,500000,1000,1e-08,1e-08,EmpiricalErrorPlatinum1000G,12,6,tsinfer,per variant,broken,rooted,RF,2.7098858071520824,0.06086510222541156
213,5000,500000,1000,1e-08,1e-08,EmpiricalErrorPlatinum1000G,12,6,tsinfer,per variant,broken,unrooted,RF,1.8496798087733222,0.056071224599170945
214,5000,500000,1000,1e-08,1e-08,EmpiricalErrorPlatinum1000G,12,6,tsinfer,per variant,broken,unrooted,SPR,0.6807790809006817,0.01735404358276207
215,5000,500000,1000,1e-08,1e-08,EmpiricalErrorPlatinum1000G,12,6,tsinfer,per variant,broken,unrooted,path,2.242049921245628,0.05914801077942035
217,5000,500000,1000,1e-08,1e-08,EmpiricalErrorPlatinum1000G,12,6,tsinfer,per variant,retained,rooted,KC,2.4096294017554656,0.03914595393925151
221,5000,500000,1000,1e-08,1e-08,EmpiricalErrorPlatinum1000G,12,6,tsinfer,per variant,retained,unrooted,SPR,0.6274074205491479,0.018790074914283843
222,5000,500000,1000,1e-08,1e-08,EmpiricalErrorPlatinum1000G,12,6,tsinfer,per variant,retained,unrooted,path,2.3748032526304756,0.06292539319291982
224,5000,500000,1000,1e-08,1e-08,EmpiricalErrorPlatinum1000G,50,6,tsinfer,per variant,broken,rooted,KC,2.4014526082649863,0.04019503888617729
225,5000,500000,1000,1e-08,1e-08,EmpiricalErrorPlatinum1000G,50,6,tsinfer,per variant,broken,rooted,RF,2.6378101427553675,0.055859401098418984
227,5000,500000,1000,1e-08,1e-08,EmpiricalErrorPlatinum1000G,50,6,tsinfer,per variant,broken,unrooted,RF,1.7758637726986533,0.049374265193021585
