,Ne,length,sample_size,recombination_rate,mutation_rate,error_param,tool,averaging,polytomy_treatment,rooting,metric,treedist_mean,treedist_se
100,5000,1000000,16,1e-08,7.368062997280773e-10,EmpiricalErrorPlatinum1000G,ARGweaver,per site,,unrooted,RF,20.0687266,1.0326949837303232
101,5000,1000000,16,1e-08,7.368062997280773e-10,EmpiricalErrorPlatinum1000G,ARGweaver,per site,,unrooted,SPR,4.894352333333333,0.23438756779767103
102,5000,1000000,16,1e-08,7.368062997280773e-10,EmpiricalErrorPlatinum1000G,ARGweaver,per site,,unrooted,path,27.160408614464973,1.061719161937022
103,5000,1000000,16,1e-08,7.368062997280773e-10,EmpiricalErrorPlatinum1000G,ARGweaver,per site,,unrooted,wRF,104003.56958551978,3684.697124777141
104,5000,1000000,16,1e-08,7.368062997280773e-10,EmpiricalErrorPlatinum1000G,RentPlus,per site,,rooted,KC,20.581990758408015,0.17154549478073555
105,5000,1000000,16,1e-08,7.368062997280773e-10,EmpiricalErrorPlatinum1000G,RentPlus,per site,,rooted,RF,20.855114790000002,0.1591312338054961
106,5000,1000000,16,1e-08,7.368062997280773e-10,EmpiricalErrorPlatinum1000G,RentPlus,per site,,unrooted,RF,18.82586987,0.15926072503221497
107,5000,1000000,16,1e-08,7.368062997280773e-10,EmpiricalErrorPlatinum1000G,RentPlus,per site,,unrooted,SPR,4.648477815,0.03556185869478295
108,5000,1000000,16,1e-08,7.368062997280773e-10,EmpiricalErrorPlatinum1000G,RentPlus,per site,,unrooted,path,25.843206136391565,0.17060325041889968
109,5000,1000000,16,1e-08,7.368062997280773e-10,EmpiricalErrorPlatinum1000G,fastARG,per site,,rooted,KC,20.061859755232433,0.17023801708460973
110,5000,1000000,16,1e-08,7.368062997280773e-10,EmpiricalErrorPlatinum1000G,fastARG,per site,,rooted,RF,21.80006661112442,0.15728407054900856
111,5000,1000000,16,1e-08,7.368062997280773e-10,EmpiricalErrorPlatinum1000G,fastARG,per site,,rooted,wRF,66178.67537234309,574.7123945278561
112,5000,1000000,16,1e-08,7.368062997280773e-10,EmpiricalErrorPlatinum1000G,fastARG,per site,,unrooted,RF,19.682839948159824,0.1548579126797148
113,5000,1000000,16,1e-08,7.368062997280773e-10,EmpiricalErrorPlatinum1000G,fastARG,per site,,unrooted,SPR,4.8367479417715,0.03535710691406217
114,5000,1000000,16,1e-08,7.368062997280773e-10,EmpiricalErrorPlatinum1000G,fastARG,per site,,unrooted,path,26.20460754663511,0.177789257417933
115,5000,1000000,16,1e-08,7.368062997280773e-10,EmpiricalErrorPlatinum1000G,fastARG,per site,,unrooted,wRF,66175.20355612348,574.7116150174049
116,5000,1000000,16,1e-08,7.368062997280773e-10,EmpiricalErrorPlatinum1000G,tsinfer,per site,,rooted,KC,18.489190701587532,0.14280496460568842
117,5000,1000000,16,1e-08,7.368062997280773e-10,EmpiricalErrorPlatinum1000G,tsinfer,per site,,rooted,RF,17.949439603767242,0.12941274172785067
118,5000,1000000,16,1e-08,7.368062997280773e-10,EmpiricalErrorPlatinum1000G,tsinfer,per site,,rooted,wRF,66802.19162637828,579.7253189917985
119,5000,1000000,16,1e-08,7.368062997280773e-10,EmpiricalErrorPlatinum1000G,tsinfer,per site,,unrooted,RF,16.385874755227007,0.12897571816976322
120,5000,1000000,16,1e-08,7.368062997280773e-10,EmpiricalErrorPlatinum1000G,tsinfer,per site,,unrooted,SPR,4.2322848601605285,0.5686080095397706
121,5000,1000000,16,1e-08,7.368062997280773e-10,EmpiricalErrorPlatinum1000G,tsinfer,per site,,unrooted,path,28.979799868317027,0.17859579743138487
122,5000,1000000,16,1e-08,7.368062997280773e-10,EmpiricalErrorPlatinum1000G,tsinfer,per site,,unrooted,wRF,66800.22365900327,579.7227141754913
123,5000,1000000,16,1e-08,7.368062997280773e-10,EmpiricalErrorPlatinum1000G,tsinfer,per site,breaking polytomies,rooted,KC,23.521834864990797,0.25434756040666484
124,5000,1000000,16,1e-08,7.368062997280773e-10,EmpiricalErrorPlatinum1000G,tsinfer,per site,breaking polytomies,rooted,RF,22.047264951865987,0.1483725826270235
125,5000,1000000,16,1e-08,7.368062997280773e-10,EmpiricalErrorPlatinum1000G,tsinfer,per site,breaking polytomies,rooted,wRF,66802.19162637828,579.7253189917985
126,5000,1000000,16,1e-08,7.368062997280773e-10,EmpiricalErrorPlatinum1000G,tsinfer,per site,breaking polytomies,unrooted,RF,20.018433887784294,0.1485065194990534
127,5000,1000000,16,1e-08,7.368062997280773e-10,EmpiricalErrorPlatinum1000G,tsinfer,per site,breaking polytomies,unrooted,SPR,4.918209162926472,0.03217666875110723
128,5000,1000000,16,1e-08,7.368062997280773e-10,EmpiricalErrorPlatinum1000G,tsinfer,per site,breaking polytomies,unrooted,path,27.190299640778935,0.16921102395947984
129,5000,1000000,16,1e-08,7.368062997280773e-10,EmpiricalErrorPlatinum1000G,tsinfer,per site,breaking polytomies,unrooted,wRF,66800.22365900327,579.7227141754915
130,5000,1000000,16,1e-08,2.714417616594907e-09,0,ARGweaver,per site,,rooted,KC,16.225006138842048,0.5643802334966161
131,5000,1000000,16,1e-08,2.714417616594907e-09,0,ARGweaver,per site,,rooted,RF,17.30894652,0.5457249983769727
132,5000,1000000,16,1e-08,2.714417616594907e-09,0,ARGweaver,per site,,rooted,wRF,81008.91396912435,749.5273653958598
133,5000,1000000,16,1e-08,2.714417616594907e-09,0,ARGweaver,per site,,unrooted,RF,15.61995328,0.526448712392684
134,5000,1000000,16,1e-08,2.714417616594907e-09,0,ARGweaver,per site,,unrooted,SPR,4.015768759999999,0.08677345408869357
135,5000,1000000,16,1e-08,2.714417616594907e-09,0,ARGweaver,per site,,unrooted,path,21.763519338744228,0.739538332692019
136,5000,1000000,16,1e-08,2.714417616594907e-09,0,ARGweaver,per site,,unrooted,wRF,80518.78664419983,735.067189897154
137,5000,1000000,16,1e-08,2.714417616594907e-09,0,RentPlus,per site,,rooted,KC,16.630296221236787,0.09323753449007827
138,5000,1000000,16,1e-08,2.714417616594907e-09,0,RentPlus,per site,,rooted,RF,15.777937839999995,0.1523502610832203
139,5000,1000000,16,1e-08,2.714417616594907e-09,0,RentPlus,per site,,unrooted,RF,13.926557870000005,0.15300635251072917
140,5000,1000000,16,1e-08,2.714417616594907e-09,0,RentPlus,per site,,unrooted,SPR,3.652174220000001,0.03805494262632311
141,5000,1000000,16,1e-08,2.714417616594907e-09,0,RentPlus,per site,,unrooted,path,20.645052446012258,0.1361947629431652
142,5000,1000000,16,1e-08,2.714417616594907e-09,0,fastARG,per site,,rooted,KC,18.075388766822748,0.12664516582600924
143,5000,1000000,16,1e-08,2.714417616594907e-09,0,fastARG,per site,,rooted,RF,17.686758201130598,0.156201340495603
144,5000,1000000,16,1e-08,2.714417616594907e-09,0,fastARG,per site,,rooted,wRF,66237.7423146894,539.2711372253514
145,5000,1000000,16,1e-08,2.714417616594907e-09,0,fastARG,per site,,unrooted,RF,15.472252781400282,0.1536189322605634
146,5000,1000000,16,1e-08,2.714417616594907e-09,0,fastARG,per site,,unrooted,SPR,3.9980119236558807,0.03500083538556305
147,5000,1000000,16,1e-08,2.714417616594907e-09,0,fastARG,per site,,unrooted,path,21.834071018434614,0.1380322996081843
148,5000,1000000,16,1e-08,2.714417616594907e-09,0,fastARG,per site,,unrooted,wRF,66230.05478798544,539.273718534681
149,5000,1000000,16,1e-08,2.714417616594907e-09,0,tsinfer,per site,,rooted,KC,15.46785365271728,0.10525735345269008
150,5000,1000000,16,1e-08,2.714417616594907e-09,0,tsinfer,per site,,rooted,RF,14.636216730724627,0.13084894687639304
151,5000,1000000,16,1e-08,2.714417616594907e-09,0,tsinfer,per site,,rooted,wRF,67494.04712529597,553.0658052417053
