,Ne,length,sample_size,recombination_rate,mutation_rate,tool,memory_mean,memory_se
54,5000,5000000,17895,1e-08,1e-08,fastARG,11395030630.4,530485709.57826847
55,5000,5000000,17895,1e-08,1e-08,tsinfer,278119628.8,1933811.501875888
56,5000,5000000,18947,1e-08,1e-08,fastARG,11534433075.2,738978967.9519701
57,5000,5000000,18947,1e-08,1e-08,tsinfer,288416153.6,1780767.0004125452
58,5000,5000000,20000,1e-08,1e-08,fastARG,12807189299.2,322078504.69722587
59,5000,5000000,20000,1e-08,1e-08,tsinfer,301385728.0,1473798.1557858826
60,5000,5500000,10000,1e-08,1e-08,fastARG,3430308249.6,155984710.04682037
61,5000,5500000,10000,1e-08,1e-08,tsinfer,200175206.4,1183022.602297345
62,5000,6000000,10000,1e-08,1e-08,fastARG,3588814028.8,147723028.45508662
63,5000,6000000,10000,1e-08,1e-08,tsinfer,209188454.4,1341832.5123861108
64,5000,6500000,10000,1e-08,1e-08,fastARG,3454408294.4,205927437.7613392
65,5000,6500000,10000,1e-08,1e-08,tsinfer,221291724.8,1173030.8114360932
66,5000,7000000,10000,1e-08,1e-08,fastARG,3775848448.0,29419173.712740965
67,5000,7000000,10000,1e-08,1e-08,tsinfer,233876684.8,1588907.7797575763
68,5000,7500000,10000,1e-08,1e-08,fastARG,3782966886.4,42793714.801274106
69,5000,7500000,10000,1e-08,1e-08,tsinfer,247883366.4,1237897.2494540643
70,5000,8000000,10000,1e-08,1e-08,fastARG,3726249164.8,68501888.99777324
71,5000,8000000,10000,1e-08,1e-08,tsinfer,257764556.8,1302282.7893854396
72,5000,8500000,10000,1e-08,1e-08,fastARG,3503560704.0,211752461.18847924
73,5000,8500000,10000,1e-08,1e-08,tsinfer,271819980.8,894111.1417874034
74,5000,9000000,10000,1e-08,1e-08,fastARG,3576611225.6,188777620.67814976
75,5000,9000000,10000,1e-08,1e-08,tsinfer,286668390.4,1574700.9362167846
76,5000,9500000,10000,1e-08,1e-08,fastARG,3986055987.2,63449350.92869485
77,5000,9500000,10000,1e-08,1e-08,tsinfer,293545984.0,835210.0670930101
78,5000,10000000,10000,1e-08,1e-08,fastARG,4044145459.2,64426566.38507958
79,5000,10000000,10000,1e-08,1e-08,tsinfer,310970368.0,954534.6479204989
