,Ne,length,sample_size,recombination_rate,mutation_rate,error_param,tool,averaging,polytomies,rooting,metric,treedist_mean,treedist_se
108,5000,100000,16,1e-08,1.4898859031336945e-08,EmpiricalErrorPlatinum1000G,RentPlus,per site,retained,unrooted,path,16.584478925451364,0.23810986085239497
109,5000,100000,16,1e-08,1.4898859031336945e-08,EmpiricalErrorPlatinum1000G,fastARG,per site,retained,rooted,KC,15.510782073702941,0.24420616057871042
110,5000,100000,16,1e-08,1.4898859031336945e-08,EmpiricalErrorPlatinum1000G,fastARG,per site,retained,rooted,RF,14.242536710767364,0.23728557752259993
112,5000,100000,16,1e-08,1.4898859031336945e-08,EmpiricalErrorPlatinum1000G,fastARG,per site,retained,unrooted,RF,12.051652055227894,0.23781182237613047
113,5000,100000,16,1e-08,1.4898859031336945e-08,EmpiricalErrorPlatinum1000G,fastARG,per site,retained,unrooted,SPR,3.3843642258259363,0.060067350904019746
114,5000,100000,16,1e-08,1.4898859031336945e-08,EmpiricalErrorPlatinum1000G,fastARG,per site,retained,unrooted,path,18.069781046370057,0.27613714902123576
116,5000,100000,16,1e-08,1.4898859031336945e-08,EmpiricalErrorPlatinum1000G,tsinfer,per site,broken,rooted,KC,12.640344104663981,0.2231687978865861
117,5000,100000,16,1e-08,1.4898859031336945e-08,EmpiricalErrorPlatinum1000G,tsinfer,per site,broken,rooted,RF,12.864652276869272,0.22168719643217122
119,5000,100000,16,1e-08,1.4898859031336945e-08,EmpiricalErrorPlatinum1000G,tsinfer,per site,broken,unrooted,RF,11.664855798441893,0.2180265243749906
120,5000,100000,16,1e-08,1.4898859031336945e-08,EmpiricalErrorPlatinum1000G,tsinfer,per site,broken,unrooted,SPR,3.3415696358330793,0.051492530056907994
121,5000,100000,16,1e-08,1.4898859031336945e-08,EmpiricalErrorPlatinum1000G,tsinfer,per site,broken,unrooted,path,17.27675828013015,0.23556157658818616
123,5000,100000,16,1e-08,1.4898859031336945e-08,EmpiricalErrorPlatinum1000G,tsinfer,per site,retained,rooted,KC,11.479817656025105,0.2023685684837137
127,5000,100000,16,1e-08,1.4898859031336945e-08,EmpiricalErrorPlatinum1000G,tsinfer,per site,retained,unrooted,SPR,2.9224747790983265,0.16055143252374435
128,5000,100000,16,1e-08,1.4898859031336945e-08,EmpiricalErrorPlatinum1000G,tsinfer,per site,retained,unrooted,path,19.64196457729486,0.4135743759747987
130,5000,100000,16,1e-08,4.439520008713e-08,0,ARGweaver,per site,retained,rooted,KC,8.482881433718555,0.17704842970663126
131,5000,100000,16,1e-08,4.439520008713e-08,0,ARGweaver,per site,retained,rooted,RF,7.141882739999997,0.1751879138200588
133,5000,100000,16,1e-08,4.439520008713e-08,0,ARGweaver,per site,retained,unrooted,RF,6.372299240000002,0.17203722717365283
134,5000,100000,16,1e-08,4.439520008713e-08,0,ARGweaver,per site,retained,unrooted,SPR,2.108022869999999,0.04859497287442594
135,5000,100000,16,1e-08,4.439520008713e-08,0,ARGweaver,per site,retained,unrooted,path,11.532366773785029,0.21169814394418132
137,5000,100000,16,1e-08,4.439520008713e-08,0,RentPlus,per site,retained,rooted,KC,10.49893680048428,0.12496784632773468
138,5000,100000,16,1e-08,4.439520008713e-08,0,RentPlus,per site,retained,rooted,RF,8.0065869,0.18066759520541298
139,5000,100000,16,1e-08,4.439520008713e-08,0,RentPlus,per site,retained,unrooted,RF,6.652632799999999,0.1841575991693522
140,5000,100000,16,1e-08,4.439520008713e-08,0,RentPlus,per site,retained,unrooted,SPR,2.1614767000000006,0.05455167917076061
