Unnamed: 0,replicate,sample_size,Ne,length,recombination_rate,mutation_rate,error_param,edges,n_trees,n_sites,seed,sim_tool,selection_coefficient,dominance_coefficient,output_frequency,output_after_generations,tsinfer_completed,fastARG_completed,ARGweaver_completed,RentPlus_completed,RentPlus_cputime,RentPlus_memory,RentPlus_0_wRFunrooted,RentPlus_0_RFrooted,RentPlus_0_SPRunrooted,RentPlus_0_pathunrooted,RentPlus_0_wRFrooted,RentPlus_0_RFunrooted,RentPlus_0_KCrooted,fastARG_edges,fastARG_0_SPRunrooted,fastARG_cputime,fastARG_0_KCrooted,fastARG_0_pathunrooted,fastARG_0_wRFunrooted,fastARG_memory,fastARG_0_wRFrooted,fastARG_0_RFrooted,fastARG_ts_filesize,fastARG_0_RFunrooted,tsinfer_max_polytomy,tsinfer_2_RFunrooted,tsinfer_0_KCrooted,tsinfer_0_RFunrooted,tsinfer_0_SPRunrooted,tsinfer_edges,tsinfer_ts_filesize,tsinfer_2_pathunrooted,tsinfer_0_wRFrooted,tsinfer_cputime,tsinfer_2_wRFrooted,tsinfer_2_RFrooted,tsinfer_0_pathunrooted,tsinfer_2_KCrooted,tsinfer_2_wRFunrooted,tsinfer_memory,tsinfer_var_polytomy,tsinfer_mean_polytomy,tsinfer_2_SPRunrooted,tsinfer_0_RFrooted,tsinfer_0_wRFunrooted,ARGweaver_0_wRFrooted,ARGweaver_0_RFrooted,ARGweaver_0_KCrooted,ARGweaver_edges,ARGweaver_0_wRFunrooted,ARGweaver_ts_filesize,ARGweaver_0_SPRunrooted,ARGweaver_cputime,ARGweaver_0_RFunrooted,ARGweaver_iterations,ARGweaver_memory,ARGweaver_0_pathunrooted
42,0,15,5000,100000,1e-08,6.804457946348874e-07,0,29,2,189,309401769,ftprime,0.1,0.5,1.0,0,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,0,15,5000,100000,1e-08,6.804457946348874e-07,EmpiricalErrorPlatinum1000G,29,2,189,309401769,ftprime,0.1,0.5,1.0,0,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,0,15,5000,100000,1e-08,6.804457946348874e-07,0,38,4,334,309401769,ftprime,0.1,0.5,1.0,200,False,True,False,False,,,,,,,,,,46.0,1.9104391710784476,0.0,12.784811162537437,10.662391089355236,4785.715335957691,2097152.0,4789.525175683798,9.080923760118859,19972.0,6.474672880591358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,0,15,5000,100000,1e-08,6.804457946348874e-07,EmpiricalErrorPlatinum1000G,38,4,334,309401769,ftprime,0.1,0.5,1.0,200,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,0,15,5000,100000,1e-08,6.804457946348874e-07,0,82,21,1490,309401769,ftprime,0.1,0.5,1.0,1000,False,True,False,False,,,,,,,,,,26.0,1.317426820984169,0.0,11.07693345118507,12.17161855544692,21415.65561854098,2244608.0,21426.944473363994,10.421067733283484,65460.0,8.651686031896869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,0,15,5000,100000,1e-08,6.804457946348874e-07,EmpiricalErrorPlatinum1000G,82,21,1490,309401769,ftprime,0.1,0.5,1.0,1000,False,False,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5832.696698418447,10.088540674137686,16.54893650880596,70.7,5831.993955594822,7749.6,2.3973388318942623,4104.7,9.537968182239755,"0,20,40,60,80,100,120,140,160,180",406687744.0,17.911024447046113
48,0,15,5000,100000,1e-08,3.5000000000000016e-06,0,101,26,11877,429519779,ftprime,0.1,0.5,0.2,0,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,0,15,5000,100000,1e-08,3.5000000000000016e-06,EmpiricalErrorPlatinum1000G,101,26,11877,429519779,ftprime,0.1,0.5,0.2,0,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,0,15,5000,100000,1e-08,3.5000000000000016e-06,0,134,36,16513,429519779,ftprime,0.1,0.5,0.5,0,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,0,15,5000,100000,1e-08,3.5000000000000016e-06,EmpiricalErrorPlatinum1000G,134,36,16513,429519779,ftprime,0.1,0.5,0.5,0,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,0,15,5000,100000,1e-08,3.5000000000000016e-06,0,42,8,3831,429519779,ftprime,0.1,0.5,0.8,0,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,0,15,5000,100000,1e-08,3.5000000000000016e-06,EmpiricalErrorPlatinum1000G,42,8,3831,429519779,ftprime,0.1,0.5,0.8,0,False,False,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1829.7568924939362,3.6012895491631918,5.929999882043118,45.2,1829.7568924939362,6708.0,1.8002149248605321,5087.360000000001,3.6008596994421276,"0,20,40,60,80,100,120,140,160,180",343912448.0,7.552555184967266
54,0,15,5000,100000,1e-08,3.5000000000000016e-06,0,30,2,1056,429519779,ftprime,0.1,0.5,1.0,0,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,0,15,5000,100000,1e-08,3.5000000000000016e-06,EmpiricalErrorPlatinum1000G,30,2,1056,429519779,ftprime,0.1,0.5,1.0,0,False,False,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,693.1011909309071,10.03398054067666,21.802545550882552,30.7,693.1011909309071,6066.4,0.014990250338129434,5997.8099999999995,0.09394154202917661,"0,20,40,60,80,100,120,140,160,180",500445184.0,0.15180650833932668
56,0,15,5000,100000,1e-08,3.5000000000000016e-06,0,55,12,3908,429519779,ftprime,0.1,0.5,1.0,200,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,0,15,5000,100000,1e-08,3.5000000000000016e-06,EmpiricalErrorPlatinum1000G,55,12,3908,429519779,ftprime,0.1,0.5,1.0,200,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,0,15,5000,100000,1e-08,3.5000000000000016e-06,0,81,15,5074,429519779,ftprime,0.1,0.5,1.0,1000,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,0,15,5000,100000,1e-08,3.5000000000000016e-06,EmpiricalErrorPlatinum1000G,81,15,5074,429519779,ftprime,0.1,0.5,1.0,1000,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,1,15,5000,100000,1e-08,4.999999999999999e-09,0,251,69,45,1927017078,ftprime,0.1,0.5,0.2,0,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,1,15,5000,100000,1e-08,4.999999999999999e-09,EmpiricalErrorPlatinum1000G,251,69,45,1927017078,ftprime,0.1,0.5,0.2,0,False,False,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107317.82564621938,15.027213613975558,12.37790145308646,297.4,106993.5411946912,16698.4,3.7333048630077244,2471.1,13.851264149552488,"0,20,40,60,80,100,120,140,160,180",155820032.0,18.08711354894813
62,1,15,5000,100000,1e-08,4.999999999999999e-09,0,172,49,32,1927017078,ftprime,0.1,0.5,0.5,0,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,1,15,5000,100000,1e-08,4.999999999999999e-09,EmpiricalErrorPlatinum1000G,172,49,32,1927017078,ftprime,0.1,0.5,0.5,0,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,1,15,5000,100000,1e-08,4.999999999999999e-09,0,70,20,27,1927017078,ftprime,0.1,0.5,0.8,0,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,1,15,5000,100000,1e-08,4.999999999999999e-09,EmpiricalErrorPlatinum1000G,70,20,27,1927017078,ftprime,0.1,0.5,0.8,0,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,1,15,5000,100000,1e-08,4.999999999999999e-09,0,48,9,8,1927017078,ftprime,0.1,0.5,1.0,0,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,1,15,5000,100000,1e-08,4.999999999999999e-09,EmpiricalErrorPlatinum1000G,48,9,8,1927017078,ftprime,0.1,0.5,1.0,0,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,1,15,5000,100000,1e-08,4.999999999999999e-09,0,54,10,7,1927017078,ftprime,0.1,0.5,1.0,200,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,1,15,5000,100000,1e-08,4.999999999999999e-09,EmpiricalErrorPlatinum1000G,54,10,7,1927017078,ftprime,0.1,0.5,1.0,200,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,1,15,5000,100000,1e-08,4.999999999999999e-09,0,71,15,12,1927017078,ftprime,0.1,0.5,1.0,1000,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,1,15,5000,100000,1e-08,4.999999999999999e-09,EmpiricalErrorPlatinum1000G,71,15,12,1927017078,ftprime,0.1,0.5,1.0,1000,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,1,15,5000,100000,1e-08,2.5718433618052004e-08,0,130,33,150,1088278859,ftprime,0.1,0.5,0.2,0,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,1,15,5000,100000,1e-08,2.5718433618052004e-08,EmpiricalErrorPlatinum1000G,130,33,150,1088278859,ftprime,0.1,0.5,0.2,0,True,False,False,False,,,,,,,,,,,,,,,,,,,,,22.0,8.865653284938173,9.349567034130105,7.332082417664049,,167.0,19108.0,14.252811693609639,52633.76730945889,1.2,52633.76730945888,9.624974435031854,14.559331996437788,10.248005912056396,52632.77036298912,58515456.0,13.544618712817742,3.883720930232558,2.2615906740856047,8.053911394662366,52632.77036298911,,,,,,,,,,,,
74,1,15,5000,100000,1e-08,2.5718433618052004e-08,0,133,33,130,1088278859,ftprime,0.1,0.5,0.5,0,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,1,15,5000,100000,1e-08,2.5718433618052004e-08,EmpiricalErrorPlatinum1000G,133,33,130,1088278859,ftprime,0.1,0.5,0.5,0,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,1,15,5000,100000,1e-08,2.5718433618052004e-08,0,103,27,100,1088278859,ftprime,0.1,0.5,0.8,0,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,1,15,5000,100000,1e-08,2.5718433618052004e-08,EmpiricalErrorPlatinum1000G,103,27,100,1088278859,ftprime,0.1,0.5,0.8,0,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,1,15,5000,100000,1e-08,2.5718433618052004e-08,0,37,4,16,1088278859,ftprime,0.1,0.5,1.0,0,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
