,dataset,population,region,sample,sample_edges,strand
155,sgdp,Even,CentralAsiaSiberia,S_Even-1,700,1
156,sgdp,Cambodian,EastAsia,S_Cambodian-1,1030,0
157,sgdp,Cambodian,EastAsia,S_Cambodian-1,1020,1
158,sgdp,Cambodian,EastAsia,S_Cambodian-2,1036,0
159,sgdp,Cambodian,EastAsia,S_Cambodian-2,1041,1
160,sgdp,Lahu,EastAsia,S_Lahu-1,965,0
161,sgdp,Lahu,EastAsia,S_Lahu-1,903,1
162,sgdp,Naxi,EastAsia,S_Naxi-3,999,0
163,sgdp,Naxi,EastAsia,S_Naxi-3,1039,1
164,sgdp,Han,EastAsia,S_Han-2,1005,0
165,sgdp,Han,EastAsia,S_Han-2,987,1
166,sgdp,Miao,EastAsia,S_Miao-1,936,0
167,sgdp,Miao,EastAsia,S_Miao-1,944,1
168,sgdp,Dai,EastAsia,S_Dai-3,897,0
169,sgdp,Dai,EastAsia,S_Dai-3,924,1
170,sgdp,Han,EastAsia,S_Han-1,962,0
171,sgdp,Han,EastAsia,S_Han-1,974,1
172,sgdp,Miao,EastAsia,S_Miao-2,988,0
173,sgdp,Miao,EastAsia,S_Miao-2,1043,1
174,sgdp,Tu,EastAsia,S_Tu-2,981,0
175,sgdp,Tu,EastAsia,S_Tu-2,950,1
176,sgdp,Oroqen,EastAsia,S_Oroqen-1,849,0
177,sgdp,Oroqen,EastAsia,S_Oroqen-1,817,1
178,sgdp,Daur,EastAsia,S_Daur-2,943,0
179,sgdp,Daur,EastAsia,S_Daur-2,943,1
180,sgdp,Oroqen,EastAsia,S_Oroqen-2,801,0
181,sgdp,Oroqen,EastAsia,S_Oroqen-2,772,1
182,sgdp,Tujia,EastAsia,S_Tujia-2,953,0
183,sgdp,Tujia,EastAsia,S_Tujia-2,965,1
184,sgdp,Hezhen,EastAsia,S_Hezhen-1,824,0
185,sgdp,Hezhen,EastAsia,S_Hezhen-1,821,1
186,sgdp,Hezhen,EastAsia,S_Hezhen-2,988,0
187,sgdp,Hezhen,EastAsia,S_Hezhen-2,976,1
188,sgdp,Uygur,EastAsia,S_Uygur-1,942,0
189,sgdp,Uygur,EastAsia,S_Uygur-1,928,1
190,sgdp,Xibo,EastAsia,S_Xibo-1,975,0
191,sgdp,Xibo,EastAsia,S_Xibo-1,1003,1
192,sgdp,Yi,EastAsia,S_Yi-1,940,0
193,sgdp,Yi,EastAsia,S_Yi-1,933,1
194,sgdp,Yi,EastAsia,S_Yi-2,1032,0
195,sgdp,Yi,EastAsia,S_Yi-2,983,1
196,sgdp,Tujia,EastAsia,S_Tujia-1,996,0
197,sgdp,Tujia,EastAsia,S_Tujia-1,1031,1
198,sgdp,Dai,EastAsia,S_Dai-2,986,0
199,sgdp,Dai,EastAsia,S_Dai-2,981,1
200,sgdp,Uygur,EastAsia,S_Uygur-2,1055,0
201,sgdp,Uygur,EastAsia,S_Uygur-2,930,1
202,sgdp,Xibo,EastAsia,S_Xibo-2,945,0
203,sgdp,Xibo,EastAsia,S_Xibo-2,928,1
204,sgdp,Lahu,EastAsia,S_Lahu-2,940,0
205,sgdp,Lahu,EastAsia,S_Lahu-2,992,1
206,sgdp,Naxi,EastAsia,S_Naxi-1,1062,0
207,sgdp,Naxi,EastAsia,S_Naxi-1,983,1
208,sgdp,She,EastAsia,S_She-2,1017,0
209,sgdp,She,EastAsia,S_She-2,1005,1
210,sgdp,She,EastAsia,S_She-1,1008,0
211,sgdp,She,EastAsia,S_She-1,1022,1
212,sgdp,Tu,EastAsia,S_Tu-1,990,0
213,sgdp,Tu,EastAsia,S_Tu-1,895,1
214,sgdp,Dai,EastAsia,S_Dai-1,1002,0
215,sgdp,Dai,EastAsia,S_Dai-1,1018,1
216,sgdp,Japanese,EastAsia,S_Japanese-1,940,0
217,sgdp,Japanese,EastAsia,S_Japanese-1,1012,1
218,sgdp,Japanese,EastAsia,S_Japanese-2,1009,0
219,sgdp,Japanese,EastAsia,S_Japanese-2,1057,1
220,sgdp,Japanese,EastAsia,S_Japanese-3,1015,0
221,sgdp,Japanese,EastAsia,S_Japanese-3,1020,1
222,sgdp,Korean,EastAsia,S_Korean-2,1033,0
223,sgdp,Korean,EastAsia,S_Korean-2,1035,1
224,sgdp,Korean,EastAsia,S_Korean-1,953,0
225,sgdp,Korean,EastAsia,S_Korean-1,942,1
226,sgdp,Burmese,EastAsia,S_Burmese-2,1079,0
227,sgdp,Burmese,EastAsia,S_Burmese-2,1137,1
228,sgdp,Burmese,EastAsia,S_Burmese-1,994,0
229,sgdp,Burmese,EastAsia,S_Burmese-1,994,1
230,sgdp,Ami,EastAsia,S_Ami-1,943,0
231,sgdp,Ami,EastAsia,S_Ami-1,920,1
232,sgdp,Ami,EastAsia,S_Ami-2,983,0
233,sgdp,Ami,EastAsia,S_Ami-2,984,1
234,sgdp,Thai,EastAsia,S_Thai-1,1008,0
235,sgdp,Thai,EastAsia,S_Thai-1,940,1
236,sgdp,Thai,EastAsia,S_Thai-2,1041,0
237,sgdp,Thai,EastAsia,S_Thai-2,1022,1
238,sgdp,Kinh,EastAsia,S_Kinh-2,946,0
239,sgdp,Kinh,EastAsia,S_Kinh-2,971,1
240,sgdp,Kinh,EastAsia,S_Kinh-1,1010,0
241,sgdp,Kinh,EastAsia,S_Kinh-1,1036,1
242,sgdp,Australian,Oceania,B_Australian-3,1227,0
243,sgdp,Australian,Oceania,B_Australian-3,1253,1
244,sgdp,Australian,Oceania,B_Australian-4,927,0
245,sgdp,Australian,Oceania,B_Australian-4,935,1
246,sgdp,Dusun,Oceania,S_Dusun-2,964,0
247,sgdp,Dusun,Oceania,S_Dusun-2,955,1
248,sgdp,Dusun,Oceania,S_Dusun-1,989,0
249,sgdp,Dusun,Oceania,S_Dusun-1,1007,1
250,sgdp,Maori,Oceania,S_Maori-1,932,0
251,sgdp,Maori,Oceania,S_Maori-1,936,1
252,sgdp,Bougainville,Oceania,S_Bougainville-2,1086,0
253,sgdp,Bougainville,Oceania,S_Bougainville-2,1083,1
254,sgdp,Papuan,Oceania,S_Papuan-3,953,0
255,sgdp,Papuan,Oceania,S_Papuan-3,988,1
256,sgdp,Bougainville,Oceania,S_Bougainville-1,1038,0
257,sgdp,Bougainville,Oceania,S_Bougainville-1,969,1
258,sgdp,Papuan,Oceania,S_Papuan-1,762,0
259,sgdp,Papuan,Oceania,S_Papuan-1,811,1
260,sgdp,Papuan,Oceania,S_Papuan-8,844,0
261,sgdp,Papuan,Oceania,S_Papuan-8,890,1
262,sgdp,Papuan,Oceania,S_Papuan-10,765,0
263,sgdp,Papuan,Oceania,S_Papuan-10,794,1
264,sgdp,Papuan,Oceania,S_Papuan-11,835,0
265,sgdp,Papuan,Oceania,S_Papuan-11,841,1
266,sgdp,Papuan,Oceania,S_Papuan-6,911,0
267,sgdp,Papuan,Oceania,S_Papuan-6,890,1
268,sgdp,Papuan,Oceania,S_Papuan-5,799,0
269,sgdp,Papuan,Oceania,S_Papuan-5,785,1
270,sgdp,Papuan,Oceania,S_Papuan-13,766,0
271,sgdp,Papuan,Oceania,S_Papuan-13,769,1
272,sgdp,Papuan,Oceania,S_Papuan-4,963,0
273,sgdp,Papuan,Oceania,S_Papuan-4,966,1
274,sgdp,Papuan,Oceania,S_Papuan-14,851,0
275,sgdp,Papuan,Oceania,S_Papuan-14,846,1
276,sgdp,Papuan,Oceania,S_Papuan-7,823,0
277,sgdp,Papuan,Oceania,S_Papuan-7,812,1
278,sgdp,Papuan,Oceania,S_Papuan-9,837,0
279,sgdp,Papuan,Oceania,S_Papuan-9,882,1
280,sgdp,Papuan,Oceania,S_Papuan-12,801,0
281,sgdp,Papuan,Oceania,S_Papuan-12,724,1
282,sgdp,Papuan,Oceania,S_Papuan-2,640,0
283,sgdp,Papuan,Oceania,S_Papuan-2,752,1
284,sgdp,Igorot,Oceania,S_Igorot-1,894,0
285,sgdp,Igorot,Oceania,S_Igorot-1,968,1
286,sgdp,Igorot,Oceania,S_Igorot-2,930,0
287,sgdp,Igorot,Oceania,S_Igorot-2,992,1
288,sgdp,Hawaiian,Oceania,S_Hawaiian-1,979,0
289,sgdp,Hawaiian,Oceania,S_Hawaiian-1,943,1
290,sgdp,Chukchi,CentralAsiaSiberia,S_Chukchi-1,751,0
291,sgdp,Chukchi,CentralAsiaSiberia,S_Chukchi-1,770,1
292,sgdp,Itelman,CentralAsiaSiberia,S_Itelman-1,709,0
293,sgdp,Itelman,CentralAsiaSiberia,S_Itelman-1,740,1
294,sgdp,Eskimo_Naukan,CentralAsiaSiberia,S_Eskimo_Naukan-1,659,0
295,sgdp,Eskimo_Naukan,CentralAsiaSiberia,S_Eskimo_Naukan-1,701,1
296,sgdp,Eskimo_Naukan,CentralAsiaSiberia,S_Eskimo_Naukan-2,656,0
297,sgdp,Eskimo_Naukan,CentralAsiaSiberia,S_Eskimo_Naukan-2,694,1
298,sgdp,Mansi,CentralAsiaSiberia,S_Mansi-2,866,0
299,sgdp,Mansi,CentralAsiaSiberia,S_Mansi-2,828,1
300,sgdp,Eskimo_Sireniki,CentralAsiaSiberia,S_Eskimo_Sireniki-2,643,0
301,sgdp,Eskimo_Sireniki,CentralAsiaSiberia,S_Eskimo_Sireniki-2,676,1
302,sgdp,Bengali,SouthAsia,S_Bengali-1,1061,0
303,sgdp,Bengali,SouthAsia,S_Bengali-1,1049,1
304,sgdp,Bengali,SouthAsia,S_Bengali-2,1015,0
305,sgdp,Bengali,SouthAsia,S_Bengali-2,1026,1
306,sgdp,Kapu,SouthAsia,S_Kapu-1,966,0
307,sgdp,Kapu,SouthAsia,S_Kapu-1,992,1
308,sgdp,Relli,SouthAsia,S_Relli-1,1098,0
309,sgdp,Relli,SouthAsia,S_Relli-1,1064,1
310,sgdp,Kapu,SouthAsia,S_Kapu-2,1079,0
311,sgdp,Kapu,SouthAsia,S_Kapu-2,1092,1
312,sgdp,Relli,SouthAsia,S_Relli-2,959,0
313,sgdp,Relli,SouthAsia,S_Relli-2,969,1
314,sgdp,Yadava,SouthAsia,S_Yadava-1,753,0
315,sgdp,Yadava,SouthAsia,S_Yadava-1,767,1
316,sgdp,Irula,SouthAsia,S_Irula-1,1142,0
317,sgdp,Irula,SouthAsia,S_Irula-1,1096,1
318,sgdp,Yadava,SouthAsia,S_Yadava-2,965,0
319,sgdp,Yadava,SouthAsia,S_Yadava-2,1003,1
320,sgdp,Irula,SouthAsia,S_Irula-2,1135,0
321,sgdp,Irula,SouthAsia,S_Irula-2,1101,1
322,sgdp,Mala,SouthAsia,S_Mala-2,1094,0
323,sgdp,Mala,SouthAsia,S_Mala-2,1139,1
324,sgdp,Khonda_Dora,SouthAsia,S_Khonda_Dora-1,1079,0
325,sgdp,Khonda_Dora,SouthAsia,S_Khonda_Dora-1,1055,1
326,sgdp,Mala,SouthAsia,S_Mala-3,1079,0
327,sgdp,Mala,SouthAsia,S_Mala-3,1095,1
328,sgdp,Brahmin,SouthAsia,S_Brahmin-1,1071,0
329,sgdp,Brahmin,SouthAsia,S_Brahmin-1,1023,1
330,sgdp,Madiga,SouthAsia,S_Madiga-1,1070,0
331,sgdp,Madiga,SouthAsia,S_Madiga-1,1055,1
332,sgdp,Brahmin,SouthAsia,S_Brahmin-2,1043,0
333,sgdp,Brahmin,SouthAsia,S_Brahmin-2,1056,1
334,sgdp,Madiga,SouthAsia,S_Madiga-2,1116,0
335,sgdp,Madiga,SouthAsia,S_Madiga-2,1079,1
336,sgdp,Kusunda,SouthAsia,S_Kusunda-1,870,0
337,sgdp,Kusunda,SouthAsia,S_Kusunda-1,995,1
338,sgdp,Kusunda,SouthAsia,S_Kusunda-2,868,0
339,sgdp,Kusunda,SouthAsia,S_Kusunda-2,936,1
340,sgdp,Brahui,SouthAsia,S_Brahui-2,909,0
341,sgdp,Brahui,SouthAsia,S_Brahui-2,922,1
342,sgdp,Makrani,SouthAsia,S_Makrani-1,949,0
343,sgdp,Makrani,SouthAsia,S_Makrani-1,1034,1
344,sgdp,Pathan,SouthAsia,S_Pathan-1,963,0
345,sgdp,Pathan,SouthAsia,S_Pathan-1,1003,1
346,sgdp,Balochi,SouthAsia,S_Balochi-1,866,0
347,sgdp,Balochi,SouthAsia,S_Balochi-1,902,1
348,sgdp,Brahui,SouthAsia,S_Brahui-1,902,0
349,sgdp,Brahui,SouthAsia,S_Brahui-1,930,1
350,sgdp,Makrani,SouthAsia,S_Makrani-2,925,0
351,sgdp,Makrani,SouthAsia,S_Makrani-2,888,1
352,sgdp,Pathan,SouthAsia,S_Pathan-2,981,0
353,sgdp,Pathan,SouthAsia,S_Pathan-2,956,1
354,sgdp,Burusho,SouthAsia,S_Burusho-1,955,0
