ethnicity,CHB,JPT,CHS,CDX,KHV,CEU,TSI,FIN,GBR,IBS,YRI,LWK,GWD,MSL,ESN,ASW,ACB,MXL,PUR,CLM,PEL,GIH,PJL,BEB,STU,ITU
Chinese,0.1394322174402971,0.118983745665538,0.16540097761169018,0.13560666928190918,0.14267767921018407,0.012119657150247804,0.013341051770537604,0.016367209799087002,0.011818632029523225,0.013413797025562467,0.004327187528544362,0.004822735040093429,0.00504910043943205,0.003412260883513515,0.003874264825642977,0.0042893253491236615,0.0054922563508132925,0.01545257678636538,0.013989257346362407,0.01700388779829034,0.02736423721212761,0.022245027114879218,0.02220328478436626,0.030140136252363517,0.026089493584680164,0.02508333171882538
Do not know,0.01769430846118472,0.016409118496272017,0.019545665910034506,0.01617345670173959,0.018723291225162943,0.09196572497373294,0.07511639306391373,0.07783797275155518,0.0836825457053416,0.08463540992100553,0.01971449803682124,0.01860352325258376,0.01760529382620269,0.013358933707842522,0.018530122873859238,0.017015033465438575,0.026337975854202427,0.02895744322177216,0.05946189541760175,0.05444768853824397,0.027540146441618184,0.04170522143684186,0.04505079297874161,0.03261915230693742,0.03897012172178704,0.03829826970956298
Indian,0.023443145739071733,0.023274112686294608,0.026001164832842143,0.021439917967518728,0.02514895585389991,0.04911932699912632,0.049220898199899075,0.045329658593390255,0.04609555526507883,0.048749165803206124,0.004822089309263002,0.00599678461931036,0.006210166869300154,0.004027740524715032,0.004425491528884048,0.007121162927606651,0.009883307772162968,0.01962249561394813,0.035325661993239985,0.0333066890055973,0.020584685233109436,0.11427573456214098,0.09851268200266802,0.07608220450719683,0.1020649763976024,0.09991622519292742
Irish,0.009391205506514838,0.008907447138996119,0.009647405821279695,0.007804364022137427,0.009368496290849255,0.1279030986715493,0.09214594556513776,0.10323590260426534,0.12217929834860068,0.11184826362137028,0.002939374882889549,0.004062564997478503,0.004698616508671462,0.0025064870316617856,0.0026695340194187707,0.013103095285371097,0.01532987069727372,0.032128202915314305,0.07136182698389736,0.06470361915000378,0.024942420665390555,0.03587117249145358,0.0392247488584395,0.02630351991941399,0.028231863231867684,0.029491654770754477
Mixed,0.018983752068455997,0.019644687856965763,0.021306539885977735,0.01634389204883563,0.018258296462576228,0.08209997580029753,0.06468143826778848,0.07092906475644958,0.0782775794403848,0.0758371759816452,0.03355260529649152,0.02560352805347091,0.023938273227803383,0.020129096057475225,0.0319132844732825,0.02095023974340967,0.03705529233711127,0.02749645090386763,0.05344948564199092,0.05351497794318712,0.03025951230989976,0.03876843460253704,0.03793500613230327,0.02973190162886326,0.035195927377173704,0.03414358170175589
Other ethnic group,0.03153826613834945,0.036689104178822304,0.035619453276002196,0.02904380422743943,0.0325550550757683,0.05350162438804588,0.05394187893145954,0.04757499945394218,0.04927950169349571,0.056921489079439815,0.038015394759703086,0.03457022427208024,0.030202840585092677,0.0242754207322061,0.03600027117238292,0.02125968197565799,0.03789253211069844,0.02573657819824383,0.04605821775193753,0.04456318240444497,0.03000094192163844,0.0423545970700882,0.04293509895119019,0.03487912569132563,0.04277577723969117,0.041814938720853456
Pakistani,0.022777906783805767,0.022538213172375286,0.025085107323427138,0.020335561186937943,0.023863553180598816,0.05298196972873795,0.05355376259924196,0.04862820663910326,0.050203049291026224,0.052911181422532066,0.0049437096027659735,0.006178543513149308,0.006388569260439894,0.004076125228041885,0.004463030873230855,0.00755481857053311,0.010242208545680346,0.020939495708541426,0.03817702136858474,0.036195340032832354,0.021385092265517335,0.09751657440500797,0.10441116041974367,0.07298114774048894,0.09666820478658307,0.09500044635107173
Prefer not to answer,0.013272665524312183,0.013049146815125635,0.014350442323649997,0.011823266319625499,0.013648776440718793,0.10501746748400097,0.07927727791811007,0.08943953246138249,0.09688075439113125,0.09180180623140173,0.019256276494432636,0.016474655415845703,0.01634240356935232,0.012521141430310957,0.018376159284800287,0.017368324064104282,0.02677813646338277,0.02819911134194307,0.062234455731703095,0.05540654751317534,0.02383862313503911,0.038379622836144586,0.040742592215345715,0.02871953883008198,0.03320211174856393,0.033599164016315755
White,0.010227906349671394,0.009920043316657058,0.010848047693707355,0.008685672552617518,0.010285058100044434,0.12519720670660803,0.09250757857047087,0.10435404814033608,0.11629066193365556,0.108133399113959,0.0038479826875894873,0.0053879358041319615,0.005698992186196551,0.00317514099939583,0.003473944838111287,0.012740151563473573,0.015853693576518814,0.0312252235701019,0.07022557082779049,0.06313618334649504,0.024903232344459337,0.03671498996581979,0.040072692425163925,0.027124339464380073,0.029619709997680176,0.03035059392496439
White and Asian,0.026340086610810536,0.02476870563299563,0.029658126246187185,0.024948005771741073,0.028284886824636868,0.08492335574581517,0.06820907187214818,0.07430700278728555,0.0788228664288536,0.07584632149035964,0.005304791176496387,0.006532749446460022,0.006623109720386149,0.0040865213752301404,0.004855385295213401,0.010122090095143772,0.013419083825584254,0.025162567691142914,0.05162771548575564,0.04679502161703707,0.02328109174385104,0.060572801292382454,0.06020694936663471,0.04744204292392793,0.059794327350554254,0.05806532218336633
White and Black African,0.009623589839411854,0.009200684583683387,0.010314420105979244,0.00858682956062098,0.010077963764110742,0.07019542990257348,0.05515337621834977,0.0601864795101359,0.06512287225495564,0.06390782956323152,0.0706442664348293,0.05773775058783276,0.05199885104175307,0.043454813942254165,0.06646518618791848,0.034667580233127986,0.06517889463042914,0.021226915293752265,0.0507435288361797,0.04312721581654004,0.01750254540269039,0.025099150747655872,0.02653910284419276,0.0189217246674851,0.02210094859531647,0.022222049434989993
White and Black Caribbean,0.008653756785447867,0.008225085254102317,0.00916242776235363,0.007558928562699781,0.008761210547424219,0.07697544819215418,0.05628980144494522,0.06411694659763348,0.07025491008331143,0.06711553086783366,0.0704358596510489,0.047462184055827215,0.04855494215231674,0.043056772547558075,0.06731838562611796,0.034507444838324984,0.06701502305642357,0.021226144808771306,0.05061113900732098,0.0435441368857883,0.018601157270329807,0.02459401088993157,0.026026099501027647,0.01843628437932346,0.020424766577310127,0.02107160265467368
