,Ne,length,sample_size,recombination_rate,mutation_rate,tool,ts_relative_filesize_mean,ts_relative_filesize_se
35,5000,50000000,15000,2e-08,1e-08,tsinfer,0.7002073725197192,
36,5000,50000000,20000,5e-09,1e-08,tsinfer,1.061497286681588,0.0013495488927056218
37,5000,50000000,20000,1e-08,1e-08,tsinfer,0.9023137612468792,0.002951615447482569
38,5000,50000000,20000,2e-08,1e-08,tsinfer,0.7024101689459679,0.00023015734660025708
39,5000,50000000,25000,5e-09,1e-08,tsinfer,1.0417178164633938,0.0009291759006925216
40,5000,50000000,25000,1e-08,1e-08,tsinfer,0.8940304807022161,
41,5000,50000000,25000,2e-08,1e-08,tsinfer,0.7014526408839568,0.001200976830871471
42,5000,50000000,30000,5e-09,1e-08,tsinfer,1.0311534773433022,0.0011807067780067214
43,5000,50000000,30000,1e-08,1e-08,tsinfer,0.887619895230271,
44,5000,50000000,30000,2e-08,1e-08,tsinfer,0.7026547756376228,0.000772346826325459
45,5000,50000000,35000,5e-09,1e-08,tsinfer,1.0170868703765157,4.715638102476842e-05
46,5000,50000000,35000,1e-08,1e-08,tsinfer,0.8835342528626778,0.0014986876434717083
47,5000,50000000,35000,2e-08,1e-08,tsinfer,0.7022742359775295,0.00013217179691994273
48,5000,50000000,40000,5e-09,1e-08,tsinfer,1.007422323635358,0.0014545424648011451
49,5000,50000000,40000,1e-08,1e-08,tsinfer,0.8765658267318193,0.00041980348363389016
50,5000,50000000,40000,2e-08,1e-08,tsinfer,0.7038921936760222,0.0009218944294624388
51,5000,50000000,45000,5e-09,1e-08,tsinfer,0.9957996723492027,0.001314045634452618
52,5000,50000000,45000,1e-08,1e-08,tsinfer,0.8754125064147034,0.00012232027664202394
53,5000,50000000,45000,2e-08,1e-08,tsinfer,0.7026954239136783,0.0009764465234688971
54,5000,50000000,50000,5e-09,1e-08,tsinfer,0.9844323707739431,0.0011823905405414345
55,5000,50000000,50000,1e-08,1e-08,tsinfer,0.870109735293626,0.0005125297168730598
56,5000,50000000,50000,2e-08,1e-08,tsinfer,0.7051763814076231,0.0007184758338487642
57,5000,50000000,55000,5e-09,1e-08,tsinfer,0.9759511739444241,0.0013394087294084566
58,5000,50000000,55000,1e-08,1e-08,tsinfer,0.8648033715794172,0.0011935320304891695
59,5000,50000000,55000,2e-08,1e-08,tsinfer,0.704435881597032,0.00012109513041658192
60,5000,50000000,60000,5e-09,1e-08,tsinfer,0.9674393115103482,0.001108813436287153
61,5000,50000000,60000,1e-08,1e-08,tsinfer,0.8621132351317259,0.0008241531012075073
62,5000,50000000,60000,2e-08,1e-08,tsinfer,0.7057071117830197,0.0005842313519875264
63,5000,50000000,65000,5e-09,1e-08,tsinfer,0.9599908446541108,0.0012183930485896808
64,5000,50000000,65000,1e-08,1e-08,tsinfer,0.8596766516179218,
65,5000,50000000,65000,2e-08,1e-08,tsinfer,0.7056760491033104,0.00021046505387001258
66,5000,50000000,70000,5e-09,1e-08,tsinfer,0.9524708018244596,0.0003002777103319644
67,5000,50000000,70000,1e-08,1e-08,tsinfer,0.8542458474821553,0.000697746539609273
68,5000,50000000,70000,2e-08,1e-08,tsinfer,0.7069879331843121,0.000621562877146542
69,5000,50000000,75000,5e-09,1e-08,tsinfer,0.943301465767282,0.0005252039665857831
70,5000,50000000,75000,1e-08,1e-08,tsinfer,0.8509501615596067,0.0015731204638523174
71,5000,50000000,75000,2e-08,1e-08,tsinfer,0.7058710758363996,6.546753337610678e-05
72,5000,50000000,80000,5e-09,1e-08,tsinfer,0.9387310655410566,8.070110127630925e-05
73,5000,50000000,80000,1e-08,1e-08,tsinfer,0.8465767737704972,
74,5000,50000000,80000,2e-08,1e-08,tsinfer,0.706021971549436,0.0009048075751416362
75,5000,50000000,85000,5e-09,1e-08,tsinfer,0.932249820953966,
76,5000,50000000,85000,1e-08,1e-08,tsinfer,0.8443874224822515,
77,5000,50000000,85000,2e-08,1e-08,tsinfer,0.7061605168119035,0.0004023054907730539
78,5000,50000000,90000,5e-09,1e-08,tsinfer,0.924446324983562,0.0006583721959296114
79,5000,50000000,90000,1e-08,1e-08,tsinfer,0.8412745007384719,0.0007382694814334528
80,5000,50000000,90000,2e-08,1e-08,tsinfer,0.7082875048424594,0.00039276955789116453
81,5000,50000000,95000,5e-09,1e-08,tsinfer,0.9185729492015371,0.00046352570142357065
82,5000,50000000,95000,1e-08,1e-08,tsinfer,0.8396130724333187,0.0013178586802459744
83,5000,50000000,95000,2e-08,1e-08,tsinfer,0.708819035997206,0.0004313902161241476
84,5000,50000000,100000,5e-09,1e-08,tsinfer,0.9124680913652158,0.0002607471535322707
85,5000,50000000,100000,1e-08,1e-08,tsinfer,0.8370449714470375,0.0004121922114461719
86,5000,50000000,100000,2e-08,1e-08,tsinfer,0.7083897213398704,0.000756227584681842
