Unnamed: 0,replicate,sample_size,Ne,length,recombination_rate,mutation_rate,error_rate,edges,n_trees,n_sites,seed,fastARG_completed,ARGweaver_completed,tsinfer_completed,RentPlus_completed,fastARG_edges,fastARG_0_SPRunrooted,fastARG_0_pathunrooted,fastARG_0_RFunrooted,fastARG_cputime,fastARG_0_wRFrooted,fastARG_ts_filesize,fastARG_0_RFrooted,fastARG_0_KCrooted,fastARG_memory,fastARG_0_wRFunrooted,RentPlus_0_wRFrooted,RentPlus_0_KCrooted,RentPlus_0_SPRunrooted,RentPlus_cputime,RentPlus_0_wRFunrooted,RentPlus_memory,RentPlus_0_pathunrooted,RentPlus_0_RFrooted,RentPlus_0_RFunrooted,tsinfer_0_SPRunrooted,tsinfer_0_wRFrooted,tsinfer_2_RFunrooted,tsinfer_var_polytomy,tsinfer_cputime,tsinfer_2_wRFrooted,tsinfer_edges,tsinfer_0_pathunrooted,tsinfer_2_pathunrooted,tsinfer_2_wRFunrooted,tsinfer_0_RFunrooted,tsinfer_0_wRFunrooted,tsinfer_max_polytomy,tsinfer_ts_filesize,tsinfer_mean_polytomy,tsinfer_2_SPRunrooted,tsinfer_2_KCrooted,tsinfer_2_RFrooted,tsinfer_memory,tsinfer_0_RFrooted,tsinfer_0_KCrooted,ARGweaver_0_pathunrooted,ARGweaver_memory,ARGweaver_0_SPRunrooted,ARGweaver_0_wRFunrooted,ARGweaver_0_KCrooted,ARGweaver_cputime,ARGweaver_0_RFrooted,ARGweaver_ts_filesize,ARGweaver_edges,ARGweaver_0_wRFrooted,ARGweaver_0_RFunrooted,ARGweaver_iterations
226,16,15,5000,1000000,1e-08,7.368062997280773e-10,0.0,1764,547,57,1021907544,False,False,True,True,,,,,,,,,,,,,18.74000446775518,4.0176655,1.52,,63422464.0,22.867299242847928,17.888275,15.989778,,17560.099197542477,17.69048619048352,40.63652587745389,0.74,17560.099197542473,187.0,31.62184800139316,24.612540219630688,17559.547772794554,12.550109762886555,17559.547772794554,43.0,78781.0,4.560975609756096,4.266286010939281,19.642170591883094,19.572338505846453,56082432.0,13.869948724597045,16.33019450200476,,,,,,,,,,,,
227,16,15,5000,1000000,1e-08,7.368062997280773e-10,0.001,1764,547,57,1021907544,False,False,True,True,,,,,,,,,,,,,18.74000446775518,4.0176655,1.51,,69296128.0,22.867299242847928,17.888275,15.989778,,17560.099197542477,17.69048619048352,40.63652587745389,0.45,17560.099197542473,187.0,31.62184800139316,24.612540219630688,17559.547772794554,12.550109762886555,17559.547772794554,43.0,78781.0,4.560975609756096,4.266286010939281,19.642170591883094,19.572338505846453,56426496.0,13.869948724597045,16.33019450200476,,,,,,,,,,,,
228,16,15,5000,1000000,1e-08,2.714417616594907e-09,0.0,1960,604,210,855615444,False,False,True,True,,,,,,,,,,,,,15.12116031005676,3.2419974999999996,3.48,,165167104.0,18.426431541153274,14.300104000000001,12.376781,,18935.21673163452,13.522274988272875,178.39672507900033,0.8899999999999999,18935.21673163452,522.0,21.86951062500043,18.584785467955864,18934.981864750527,10.75136729097028,18934.981864750524,148.0,89189.0,4.423728813559323,3.5789171678544194,13.604533458765525,15.219455535825036,57073664.0,11.860125641000268,12.190701497548243,,,,,,,,,,,,
229,16,15,5000,1000000,1e-08,2.714417616594907e-09,0.001,1960,604,210,855615444,False,False,True,True,,,,,,,,,,,,,14.833554471876555,3.2914955000000004,2.79,,147615744.0,18.55336079262661,14.376241,12.506181,,18934.54196688869,14.06797188846472,181.11440677966095,0.88,18934.541966888683,531.0,22.82887325882657,18.961593274069298,18934.316717299,11.128852821120873,18934.316717299,149.0,89333.0,4.5,3.754886843177576,13.851418019530788,15.763653557295859,56885248.0,12.241697124294564,12.44598218077528,,,,,,,,,,,,
230,16,15,5000,1000000,1e-08,1e-08,0.0,1623,494,543,646993230,True,False,True,True,586.0,2.992012208817064,16.765352386828404,10.690222848439854,0.01,13042.255124736428,89612.0,13.3251289030625,16.112407995901666,2117632.0,13039.05907518605,,12.75132698560277,2.714812,5.98,,266530816.0,14.986321282773506,11.069533,9.416250999999999,2.9502190311771943,13481.836057564458,10.97639564400099,154.13850415512462,1.03,13481.836057564458,669.0,17.714518944592797,16.21381728947965,13481.521183660248,9.3076693502487,13481.521183660248,165.0,97937.0,3.9122807017543866,3.023670670820669,11.673329212377775,12.184166848220446,56905728.0,10.241171045528292,10.553190018029767,,,,,,,,,,,,
231,16,15,5000,1000000,1e-08,1e-08,0.001,1623,494,543,646993230,False,False,True,True,,,,,,,,,,,,,13.036505443111857,2.6954835,5.65,,280395776.0,15.090807269071922,11.208167,9.585302,2.9502190311771943,13481.708129818955,11.159517651258877,167.9759470101645,0.5900000000000001,13481.708129818955,716.0,17.99836815304502,16.409088201786908,13481.474973705803,9.491304052678014,13481.474973705808,177.0,98689.0,3.955801104972376,3.0526400296945213,11.825287181310287,12.345523840084295,57151488.0,10.396106792237019,10.61463807581453,,,,,,,,,,,,
232,16,15,5000,1000000,1e-08,3.6840314986403866e-08,0.0,1944,603,2559,1874578921,False,False,True,True,,,,,,,,,,,,,9.8973276711719,2.078411,17.98,,702279680.0,11.831099013450455,8.054839,6.736044000000001,2.0510007496833467,16940.051757612582,7.087160241680522,235.4595268880901,1.52,16940.051757612582,1489.0,12.738862062764039,12.279211084940831,16939.686389895087,6.523869740484768,16939.686389895083,316.0,151445.0,3.5536992840095465,2.211582103460487,8.518691905724832,7.8281764858000935,59494400.0,7.152314809508714,8.121700009455301,,,,,,,,,,,,
233,16,15,5000,1000000,1e-08,3.6840314986403866e-08,0.001,1944,603,2559,1874578921,False,False,True,True,,,,,,,,,,,,,9.93020095711327,2.1240455000000003,17.88,,725803008.0,12.19582114945781,8.324516000000001,7.0530550000000005,2.0753434293554776,16940.017070086953,7.4246710148541775,282.99523416919703,1.53,16940.017070086957,1672.0,13.125890092452352,12.604089623530589,16939.656188324796,6.8167510488959495,16939.6561883248,357.0,155093.0,3.7488789237668163,2.3063284898167757,8.811028121711066,8.211002982028726,59445248.0,7.464847407121921,8.397054563460246,,,,,,,,,,,,
234,16,15,5000,1000000,1e-08,1.3572088082974523e-07,0.0,1650,510,8002,867755091,False,False,False,True,,,,,,,,,,,,,8.13945787149333,1.1583845,42.18,,1575399424.0,7.331978842509862,4.635915,3.3216910000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,16,15,5000,1000000,1e-08,1.3572088082974523e-07,0.001,1650,510,8002,867755091,False,False,True,True,,,,,,,,,,,,,8.13992645619756,1.4264455,31.9,,1484849152.0,8.321381704411102,5.441423,4.215539,0.9609431865791036,14680.69709300895,4.100813017882758,520.2535190894698,2.5,14680.69709300895,2610.0,8.916173349994319,8.224826319715843,14680.512277170728,3.7546788547184287,14680.512277170728,565.0,273262.0,4.271685761047463,1.4386210144423608,5.6240894868565,4.544627851275724,67145728.0,4.132392615645839,5.43165695678706,,,,,,,,,,,,
