Unnamed: 0,replicate,sample_size,Ne,length,recombination_rate,mutation_rate,error_rate,edges,n_trees,n_sites,seed,ARGweaver_completed,fastARG_completed,RentPlus_completed,tsinfer_completed,fastARG_SPRunrooted,fastARG_edges,fastARG_wRFrooted,fastARG_cputime,fastARG_RFrooted,fastARG_RFunrooted,fastARG_pathunrooted,fastARG_KCrooted,fastARG_memory,fastARG_ts_filesize,fastARG_wRFunrooted,tsinfer_SPRunrooted,tsinfer_edges,tsinfer_var_polytomy,tsinfer_wRFrooted,tsinfer_cputime,tsinfer_RFrooted,tsinfer_RFunrooted,tsinfer_pathunrooted,tsinfer_KCrooted,tsinfer_memory,tsinfer_ts_filesize,tsinfer_max_polytomy,tsinfer_mean_polytomy,tsinfer_wRFunrooted,RentPlus_SPRunrooted,RentPlus_wRFunrooted,RentPlus_pathunrooted,RentPlus_wRFrooted,RentPlus_cputime,RentPlus_RFrooted,RentPlus_RFunrooted,RentPlus_KCrooted,RentPlus_memory,ARGweaver_SPRunrooted,ARGweaver_edges,ARGweaver_wRFrooted,ARGweaver_cputime,ARGweaver_RFrooted,ARGweaver_RFunrooted,ARGweaver_iterations,ARGweaver_KCrooted,ARGweaver_memory,ARGweaver_ts_filesize,ARGweaver_pathunrooted,ARGweaver_wRFunrooted,completed,fastARG_0_RFunrooted,fastARG_0_SPRunrooted,fastARG_0_wRFunrooted,fastARG_0_RFrooted,fastARG_0_KCrooted,fastARG_0_pathunrooted,fastARG_0_wRFrooted,RentPlus_0_RFunrooted,RentPlus_0_RFrooted,RentPlus_0_pathunrooted,RentPlus_0_SPRunrooted,RentPlus_0_KCrooted,RentPlus_0_wRFrooted,RentPlus_0_wRFunrooted,tsinfer_2_wRFrooted,tsinfer_2_SPRunrooted,tsinfer_0_RFunrooted,tsinfer_0_RFrooted,tsinfer_2_wRFunrooted,tsinfer_2_RFrooted,tsinfer_2_KCrooted,tsinfer_2_pathunrooted,tsinfer_0_pathunrooted,tsinfer_0_wRFrooted,tsinfer_0_KCrooted,tsinfer_0_wRFunrooted,tsinfer_0_SPRunrooted,tsinfer_2_RFunrooted,ARGweaver_0_wRFunrooted,ARGweaver_0_wRFrooted,ARGweaver_0_KCrooted,ARGweaver_0_pathunrooted,ARGweaver_0_RFrooted,ARGweaver_0_SPRunrooted,ARGweaver_0_RFunrooted
1634,77,15,5000,100000,1e-08,1.1745865883549928e-06,0.01,177,45,7952,1095146511,False,False,False,True,,,,,,,,,,,,1.7517506499489612,3185.0,879.3097348134131,17273.873661503047,1.71,5.29264068695511,5.013647033082699,8.941521532959614,5.1181948648363385,66473984.0,257272.0,673.0,5.865561694290976,17273.839701238623,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,17273.873661503047,1.7517506499489612,4.2545846506549285,4.448049357254524,17273.839701238623,5.29264068695511,5.1181948648363385,8.941521532959614,9.969100713129084,17273.873661503047,4.635339156615335,17273.839701238627,0.7164035215813598,5.013647033082699,,,,,,,
1635,77,15,5000,100000,1e-08,3.5000000000000016e-06,0.0,173,47,18054,1370964891,False,True,True,True,0.04443433253871976,150.0,12794.026846451863,0.06,2.1081011241611374,0.09898175538634414,0.3040511199045718,7.899404435483422,3825664.0,399252.0,12790.945417120207,0.12437677851143528,267.0,34.95122448979591,12954.694320173445,3.29,0.29872976674308865,0.27536543861935386,0.7305979666089087,0.5265088836044101,81432576.0,347320.0,51.0,3.8142857142857145,12954.675332692032,0.15254000000000004,,1.192785831053936,,500.24,1.7369600000000005,0.4315600000000001,5.9689184259636185,10823643136.0,,,,,,,,,,,,,True,0.09898175538634416,0.04443433253871976,12790.945417120207,2.1081011241611374,7.899404435483423,0.3040511199045717,12794.026846451863,0.43156000000000005,1.7369599999999998,1.1927858310539363,0.15254,5.9689184259636185,,,12954.694320173445,0.12437677851143528,0.2753654386193538,0.2994087948245101,12954.675332692032,0.29872976674308865,0.5265088836044101,0.7305979666089087,0.7305979666089087,12954.694320173447,0.5453486577994298,12954.675332692032,0.12437677851143525,0.27536543861935386,,,,,,,
1636,77,15,5000,100000,1e-08,3.5000000000000016e-06,0.001,173,47,18054,1370964891,False,False,False,True,,,,,,,,,,,,0.21933370853761366,1073.0,273.801775,12954.77968255304,3.31,0.6373848050713249,0.5810538979644518,1.4445723808737518,0.95652016555901,81895424.0,368617.0,233.0,5.365,12954.760581085142,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,12954.77968255304,0.21933370853761372,0.5444304584254359,0.5858622825149283,12954.760581085142,0.6373848050713249,0.95652016555901,1.4445723808737518,1.4752876741165428,12954.77968255304,0.9090493324616832,12954.760581085144,0.1756604359093331,0.5810538979644518,,,,,,,
1637,77,15,5000,100000,1e-08,3.5000000000000016e-06,0.01,173,47,18054,1370964891,False,False,False,True,,,,,,,,,,,,1.2849484307166872,7035.0,2138.9011855771123,12955.157429877883,3.81,3.7616385261146617,3.5574132154767497,7.050752339386082,4.00607757149255,84422656.0,514095.0,1525.0,6.203703703703702,12955.137081324165,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,12955.157429877883,1.2849484307166872,3.148335772716653,3.2897411287443608,12955.137081324165,3.7616385261146617,4.00607757149255,7.050752339386082,7.7613627430974494,12955.157429877883,3.638254499379359,12955.137081324165,0.8324900146976941,3.5574132154767497,,,,,,,
1638,78,15,5000,100000,1e-08,4.999999999999999e-09,0.0,166,45,17,892015068,True,True,False,True,3.1303953462504595,46.0,12626.966810356224,0.0,14.095857752829676,11.632277752829678,17.30924158620888,16.70006755566326,2056192.0,69736.0,12625.899681559516,4.1086477999100826,41.0,3.69,12691.34981790195,0.54,15.87870231253438,15.180804926425589,20.09468087173669,11.887038464563206,54980608.0,67714.0,9.0,4.1,12691.283120741831,,,,,,,,,,,121.0,,3208.4,,,"0,20,40,60,80,100,120,140,160,180",,230211584.0,55312.0,,,True,11.632277752829678,3.1303953462504595,12625.899681559516,14.095857752829678,16.700067555663267,17.30924158620888,12626.966810356224,,,,,,,,12691.34981790195,4.1086477999100826,10.3966990966969,10.922556947102569,12691.283120741831,15.87870231253438,11.887038464563206,20.09468087173669,28.54036561517004,12691.34981790195,10.658439820620126,12691.28312074183,,15.180804926425589,43960.4019062735,44416.28976075264,11.706878830288327,17.38993346656096,13.760854,3.465426,12.746848
1639,78,15,5000,100000,1e-08,4.999999999999999e-09,0.001,166,45,17,892015068,False,False,False,True,,,,,,,,,,,,4.1086477999100826,41.0,3.69,12691.34981790195,0.55,15.87870231253438,15.180804926425589,20.09468087173669,11.887038464563206,55107584.0,67714.0,9.0,4.1,12691.283120741831,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,12691.34981790195,4.1086477999100826,10.3966990966969,10.922556947102569,12691.283120741831,15.87870231253438,11.887038464563206,20.09468087173669,28.54036561517004,12691.34981790195,10.658439820620126,12691.28312074183,,15.180804926425589,,,,,,,
1640,78,15,5000,100000,1e-08,4.999999999999999e-09,0.01,166,45,17,892015068,False,False,False,True,,,,,,,,,,,,4.1086477999100826,41.0,3.69,12691.34981790195,0.36,15.87870231253438,15.180804926425589,20.09468087173669,11.887038464563206,54919168.0,67714.0,9.0,4.1,12691.283120741831,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,12691.34981790195,4.1086477999100826,10.3966990966969,10.922556947102569,12691.283120741831,15.87870231253438,11.887038464563206,20.09468087173669,28.54036561517004,12691.34981790195,10.658439820620126,12691.28312074183,,15.180804926425589,,,,,,,
1641,78,15,5000,100000,1e-08,1.4898859031336945e-08,0.0,193,53,101,1056741354,False,True,False,True,,95.0,,0.0,,,,,2060288.0,71784.0,,2.813018626962517,89.0,10.064209274673008,15761.084648928638,0.5800000000000001,9.618533250407477,8.649135810402273,14.980440522524805,10.755399626693695,54759424.0,71784.0,19.0,3.0689655172413794,15760.959488457429,,,,,,,,,,,,,,,,,,,,,,True,8.974071086781624,3.3011569502451827,15668.307567505668,11.332785416763734,14.769049512720066,14.39602944262327,15670.12685977135,,,,,,,,15761.084648928638,2.813018626962517,7.9976076130846785,8.832220517831542,15760.959488457429,9.618533250407477,10.755399626693697,14.980440522524805,14.168034607330105,15761.084648928636,9.555984617897888,15760.959488457429,,8.649135810402273,,,,,,,
1642,78,15,5000,100000,1e-08,1.4898859031336945e-08,0.001,193,53,101,1056741354,False,True,False,True,3.071172834783195,79.0,15680.533411245093,0.0,9.962065906914836,8.344379104118902,13.90798024295744,10.085397150716037,2068480.0,71784.0,15678.809084223056,2.8902276243822222,102.0,15.353151010701545,15762.080069235186,0.4300000000000001,11.380955422392066,10.324117582507203,16.162090020631506,11.457352330782438,54870016.0,71784.0,23.0,3.5172413793103448,15761.937189218414,,,,,,,,,,,,,,,,,,,,,,True,8.344379104118902,3.0711728347831952,15678.80908422306,9.962065906914836,10.085397150716037,13.90798024295744,15680.533411245093,,,,,,,,15762.080069235186,2.8902276243822222,8.167952438027154,9.105304669309836,15761.937189218414,11.380955422392066,11.457352330782438,16.162090020631506,16.854602531088105,15762.080069235186,9.579937100027934,15761.937189218414,,10.324117582507203,,,,,,,
1643,78,15,5000,100000,1e-08,1.4898859031336945e-08,0.01,193,53,101,1056741354,False,False,False,True,,,,,,,,,,,,2.7227564828039643,111.0,16.43704474505723,15762.452023791897,0.6100000000000001,10.467172706324801,9.461295822891053,15.329004161842644,11.175382888489652,54800384.0,71784.0,25.0,3.5806451612903225,15762.35284377512,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,15762.452023791897,2.7227564828039643,8.323887548533179,9.182197293489104,15762.35284377512,10.467172706324801,11.175382888489652,15.329004161842644,16.107916752104614,15762.452023791891,10.001636580402424,15762.35284377512,,9.461295822891053,,,,,,,
